良維,	6290
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2003,48.80,146.64,103.17,3.57,6.87,53.12,7.09,13.97,4.56,2.54,6.32,4.07,17.89
2004,50.70,152.74,101.45,3.95,6.90,52.89,10.18,19.76,5.93,3.69,0.00,0.00,19.47
2005,59.71,160.07,114.96,3.27,6.06,60.23,6.37,13.91,3.92,2.77,0.00,0.00,20.58
2006,55.71,168.84,109.04,3.27,5.64,64.71,1.43,2.36,0.67,0.45,0.00,0.00,19.36
2007,53.72,146.26,94.32,3.77,5.72,63.81,0.65,0.17,0.05,0.03,18.51,11.36,18.43
2008,38.68,155.86,103.09,3.98,5.78,63.14,4.32,7.29,2.82,1.40,74.76,35.66,20.26
2009,26.04,248.42,184.57,4.18,5.88,62.07,14.55,21.25,11.44,4.74,44.36,11.28,23.36
2010,23.37,270.70,195.69,5.15,9.07,40.24,11.37,15.09,6.75,3.47,20.28,-6.76,22.70
2011,33.25,245.76,204.76,4.85,11.96,30.51,7.58,10.46,4.41,2.40,43.56,3.34,23.43
2012,32.12,246.19,204.84,4.03,14.80,24.66,6.00,8.64,3.75,2.00,0.00,-3.97,23.62
2013,37.46,215.07,149.90,3.27,4.44,82.20,5.41,8.82,4.07,2.25,36.14,11.15,24.43
2014,30.20,283.00,198.75,3.55,4.76,76.68,7.16,10.65,5.03,2.85,24.40,4.33,26.61
2015,36.06,225.56,152.56,3.23,4.47,81.65,5.31,7.89,4.02,2.22,4.56,-3.48,27.56
2016,31.74,309.20,221.92,2.86,4.34,84.10,7.21,10.76,6.02,3.09,81.18,14.78,27.82
2017,39.51,209.14,127.61,2.91,3.91,93.35,4.04,6.06,3.60,1.71,8.25,-3.95,25.82
2018,39.47,174.04,122.87,3.33,4.20,86.90,2.79,4.33,2.21,1.14,18.05,4.87,25.38
