微星,	2377
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,49.00,160.47,112.23,9.37,7.99,45.68,16.13,28.79,8.99,7.43,38.01,24.11,29.74
2001,46.20,149.11,90.11,7.84,7.26,50.27,19.06,35.53,9.80,10.17,11.43,5.06,33.50
2002,49.69,192.70,135.80,7.90,7.71,47.34,11.76,22.55,5.90,6.03,29.56,14.64,30.04
2003,48.83,170.51,106.86,7.65,7.00,52.14,8.55,16.38,4.67,4.50,10.46,4.22,29.40
2004,51.00,138.13,78.96,7.14,5.93,61.55,1.36,2.32,0.68,0.59,0.00,0.00,25.11
2005,48.04,146.45,83.18,7.09,5.75,63.47,3.11,6.00,1.69,1.50,12.09,9.91,25.79
2006,49.43,146.10,85.61,6.92,5.82,62.71,3.18,6.02,1.67,1.42,1.75,0.00,24.07
2007,52.06,141.50,81.06,6.51,5.93,61.55,6.35,12.89,3.22,3.07,0.00,0.00,25.24
2008,50.16,147.05,86.77,6.53,5.68,64.26,4.50,9.13,2.32,2.25,8.42,5.28,25.49
2009,49.54,151.23,89.26,6.30,5.12,71.28,0.48,0.94,0.29,0.23,7.22,4.83,23.76
2010,49.96,153.15,84.45,7.07,5.29,68.99,1.05,2.08,0.60,0.49,0.57,0.00,22.96
2011,40.22,190.81,115.39,6.63,5.27,69.25,0.74,1.36,0.44,0.32,9.33,0.00,24.50
2012,43.09,176.41,108.63,6.29,5.85,62.39,2.25,3.86,1.31,1.00,8.79,4.68,25.54
2013,44.92,192.06,122.84,6.45,5.82,62.71,5.04,8.89,2.75,2.34,18.85,10.15,27.15
2014,47.16,184.45,106.33,6.84,5.31,68.73,6.93,12.70,3.55,3.57,5.17,-1.74,29.04
2015,44.68,196.11,117.36,6.82,4.64,78.66,8.00,14.74,4.35,4.39,27.88,9.31,30.47
2016,46.72,192.11,115.93,7.66,5.44,67.09,10.08,18.57,4.78,5.79,21.72,8.40,31.83
2017,43.44,206.42,122.23,7.24,5.45,66.97,9.92,18.05,4.64,5.84,11.68,-1.44,32.91
2018,45.72,199.30,104.68,7.59,5.19,70.32,11.60,20.92,5.10,7.15,0.34,-10.00,35.44
