信大,	1109
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,12.98,337.02,289.24,2.81,4.28,85.28,2.58,2.98,11.70,0.38,95.80,3.29,12.73
2001,12.06,339.23,290.04,2.44,3.91,93.35,0.51,0.58,2.90,0.07,24.65,-0.12,12.49
2002,12.07,423.13,383.10,3.81,5.20,70.19,6.75,7.67,28.33,0.99,0.00,-0.50,13.37
2003,9.86,570.36,498.60,8.73,5.52,66.12,3.30,3.65,13.09,0.49,48.73,-0.73,13.22
2004,9.83,870.06,776.02,7.89,5.76,63.36,4.48,4.97,14.10,0.65,NA,-1.44,13.31
2005,10.06,722.88,632.54,7.65,5.03,72.56,5.39,5.97,16.46,0.80,221.37,5.98,13.58
2006,9.61,891.51,793.59,9.05,4.94,73.88,9.61,10.65,28.11,1.50,170.17,3.97,14.53
2007,9.40,974.68,847.17,8.59,4.06,89.90,3.64,4.02,12.71,0.58,98.59,0.57,14.44
2008,8.37,1284.35,1058.12,8.40,3.67,99.45,2.84,3.12,10.31,0.44,74.26,-0.72,13.94
2009,8.47,903.56,689.05,7.22,2.47,147.77,1.64,1.80,7.61,0.26,136.05,2.35,14.47
2010,8.57,1006.81,738.39,7.61,2.47,147.77,-0.25,-0.27,-1.30,-0.04,16.04,-1.24,13.97
2011,8.71,823.53,610.93,8.54,2.96,123.31,1.14,1.24,4.78,0.17,98.33,0.88,14.09
2012,9.62,669.31,490.56,8.35,3.19,114.42,1.36,1.49,5.13,0.21,85.71,0.82,13.85
2013,27.20,238.48,172.35,6.15,4.74,77.00,3.66,4.61,7.09,0.65,9.48,-0.34,14.60
2014,24.45,150.36,103.29,5.67,4.94,73.88,3.86,4.76,6.74,0.67,27.67,0.04,14.18
2015,26.03,251.92,164.93,5.90,4.73,77.16,-0.41,0.27,-1.32,0.04,53.47,3.99,14.31
2016,26.78,224.69,155.15,6.84,4.44,82.20,2.35,2.79,4.09,0.42,49.00,5.08,14.27
2017,20.77,308.50,230.47,5.81,5.16,70.73,8.89,7.49,13.20,1.32,60.96,5.05,15.73
