聖暉,	5536
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2008,65.03,123.99,88.77,4.86,1.02,357.84,10.01,28.18,7.10,5.77,12.55,8.36,21.97
2009,40.88,150.02,116.91,5.16,0.80,456.25,15.27,32.30,12.85,7.55,13.55,-1.66,28.47
2010,41.33,183.09,141.00,5.28,1.15,317.39,29.52,50.19,23.49,19.32,31.21,12.01,45.57
2011,32.96,193.99,160.81,4.18,1.35,270.37,16.16,25.59,16.33,13.30,24.25,-5.78,53.79
2012,38.03,177.06,145.99,3.76,1.01,361.38,17.56,27.31,21.45,15.38,52.59,11.91,58.82
2013,58.62,166.41,103.34,4.11,0.97,376.28,6.77,16.28,5.39,10.11,-4.73,-20.67,62.83
2014,61.24,155.35,87.59,3.63,0.81,450.61,1.40,3.40,1.25,2.06,4.57,-9.48,56.01
2015,62.57,152.83,95.56,3.48,0.76,480.26,5.54,15.12,4.86,9.02,6.11,6.18,62.63
2016,61.94,151.37,102.18,2.99,0.68,536.76,5.34,14.40,5.40,9.45,24.61,27.68,64.85
2017,59.62,161.85,106.44,4.17,0.80,456.25,9.68,24.41,8.58,18.17,16.21,13.73,82.16
