艾訊,	3088
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2003,24.64,293.28,220.06,6.79,7.18,50.83,19.00,25.57,13.99,3.15,28.54,1.66,16.01
2004,30.97,199.38,149.20,6.48,7.14,51.12,18.17,25.30,13.34,3.73,76.96,19.04,16.00
2005,29.18,221.84,164.11,4.87,5.91,61.75,14.23,20.29,12.76,3.20,51.74,6.77,16.54
2006,22.80,273.76,177.91,5.79,4.98,73.29,22.30,30.04,18.98,5.16,60.16,3.49,18.47
2007,21.80,261.95,153.58,6.73,4.36,83.71,18.93,24.25,16.98,4.12,115.20,4.12,16.98
2008,20.88,275.84,179.73,6.90,5.28,69.12,13.20,16.63,11.34,2.69,104.73,2.51,15.86
2009,17.74,294.76,194.52,5.58,4.68,77.99,7.96,9.87,8.76,1.52,51.95,-1.90,15.22
2010,20.42,265.29,159.64,7.94,5.46,66.84,13.27,16.41,12.28,2.56,74.30,6.53,15.92
2011,21.04,269.06,167.78,7.00,4.88,74.79,9.40,11.85,8.66,1.86,86.69,3.67,15.57
2012,22.41,218.39,127.13,7.04,4.98,73.29,11.31,11.45,10.43,2.31,79.07,11.07,16.42
2013,35.94,260.27,156.23,8.40,4.03,90.57,10.85,20.26,7.28,3.47,22.38,-0.49,17.58
2014,38.35,251.42,147.56,8.47,3.97,91.93,16.21,25.71,8.83,4.75,36.52,3.36,19.93
2015,41.88,228.87,128.63,8.17,3.51,103.98,15.88,26.39,9.19,5.38,57.35,11.10,21.42
2016,46.69,286.12,201.83,7.66,3.42,106.72,11.93,21.28,7.96,4.56,49.92,4.54,22.08
2017,37.14,182.26,121.71,7.40,3.54,103.10,26.32,44.73,23.26,11.71,24.73,0.66,29.86
