天鈺,	4961
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2010,52.99,165.21,117.51,3.86,4.24,86.08,12.59,26.35,7.52,2.92,-17.88,-22.64,12.31
2011,37.32,220.08,131.05,3.15,3.41,107.03,6.18,10.89,4.53,1.36,77.09,45.87,12.73
2012,48.57,183.11,134.42,2.89,3.33,109.60,-0.21,-0.50,-0.23,-0.05,-29.92,-5.73,11.57
2013,46.64,189.49,135.65,3.00,4.24,86.08,4.26,7.85,3.24,1.00,-4.45,0.00,13.50
2014,43.90,214.45,135.62,3.86,4.08,89.46,6.64,11.80,4.21,1.70,6.58,2.34,15.07
2015,40.74,231.53,150.01,4.00,3.84,95.05,8.20,13.96,4.96,2.30,23.30,11.47,16.85
2016,46.90,202.10,121.68,4.62,3.62,100.82,7.45,13.13,4.61,2.39,18.92,9.61,18.45
2017,52.47,178.14,108.67,4.11,3.13,116.61,3.02,5.65,2.04,1.11,-10.22,-17.34,18.60
2018,43.32,219.98,146.11,4.05,3.57,102.24,6.17,11.09,3.93,2.43,-7.54,-7.36,22.40
