天仁,	1233
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,27.69,206.00,129.52,5.91,2.57,142.02,5.25,7.07,5.80,0.81,62.17,8.44,11.63
2002,28.61,189.27,114.30,6.95,2.82,129.43,7.16,9.85,7.35,1.19,64.57,8.51,11.61
2003,36.23,125.71,77.87,6.96,2.80,130.35,8.69,12.58,8.99,1.52,50.01,11.22,12.04
2004,32.23,150.66,90.83,7.62,2.98,122.48,10.15,15.28,10.45,1.93,56.73,9.17,13.12
2005,33.86,141.59,85.47,7.67,2.89,126.29,8.43,12.48,8.79,1.64,42.26,3.06,13.13
2006,35.06,140.31,83.26,7.86,2.90,125.86,8.50,12.82,8.46,1.70,52.12,6.24,13.36
2007,29.13,189.99,114.73,7.88,3.03,120.46,7.76,11.32,7.41,1.49,94.76,11.55,13.42
2008,27.58,233.93,140.05,7.86,3.00,121.66,8.83,12.28,8.46,1.66,91.50,6.67,13.59
2009,17.36,213.55,125.77,8.13,3.01,121.26,10.68,13.80,9.93,1.94,38.75,-1.27,14.56
2010,20.84,185.03,109.77,8.62,3.15,115.87,12.69,15.69,11.22,2.32,77.21,5.19,14.97
2011,22.33,195.48,124.61,8.46,3.22,113.35,12.79,16.32,11.48,2.59,76.64,5.30,16.72
2012,21.79,182.60,113.01,7.90,3.21,113.70,11.72,15.01,11.39,2.56,63.88,1.37,17.35
2013,27.59,180.12,116.01,7.97,3.15,115.87,11.49,15.62,11.11,2.55,69.56,3.68,16.13
2014,26.59,168.87,95.64,8.35,3.15,115.87,11.62,15.87,10.79,2.54,58.38,1.49,15.86
2015,26.43,170.38,98.16,8.74,3.13,116.61,10.69,14.50,9.88,2.31,54.20,1.50,16.01
2016,28.16,165.72,97.11,8.86,3.16,115.50,8.59,11.77,7.95,1.87,50.28,1.88,15.68
2017,27.54,188.04,120.75,8.69,3.08,118.50,8.66,11.99,8.23,1.94,52.85,4.29,16.54
