翔名,	8091
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,14.14,502.41,368.09,5.16,2.73,133.69,22.95,30.13,27.96,4.33,38.03,6.01,16.48
2002,13.43,384.33,230.25,6.23,3.63,100.55,9.62,10.85,10.47,1.41,26.40,3.83,13.67
2003,15.88,418.33,301.58,4.66,3.67,99.45,15.53,18.11,18.44,2.37,48.80,16.77,13.71
2004,32.25,237.80,176.35,4.42,5.51,66.24,15.89,21.23,13.19,2.89,3.76,11.03,14.29
2005,20.91,324.68,234.15,3.70,4.90,74.48,13.08,17.93,11.43,2.52,115.36,12.60,14.49
2006,25.19,318.78,215.18,3.95,3.79,96.30,14.25,18.50,13.76,2.52,71.65,11.09,14.94
2007,30.30,289.71,180.39,4.33,3.14,116.24,15.63,21.70,15.94,3.09,24.11,0.88,15.12
2008,40.73,251.83,170.55,5.37,3.87,94.31,9.33,14.30,8.59,2.04,106.23,16.94,14.11
2009,35.62,257.54,195.50,4.27,3.88,94.07,10.61,16.80,12.92,2.44,84.95,11.95,14.92
2010,37.19,301.12,244.99,5.48,6.45,56.58,22.59,35.25,19.91,6.64,69.74,-0.93,19.94
2011,41.22,337.92,268.81,4.68,5.10,71.56,18.45,30.05,20.73,6.73,81.12,1.70,23.39
2012,24.85,228.79,182.11,5.05,4.34,84.10,15.95,23.64,20.91,6.10,70.51,11.49,28.17
2013,19.67,303.29,232.11,5.27,3.75,97.33,12.47,16.11,17.25,4.53,65.50,-1.50,28.61
2014,12.29,503.49,385.04,5.01,3.51,103.98,13.20,15.66,17.85,4.69,129.96,10.12,30.35
2015,36.44,188.08,90.67,7.72,2.55,143.13,11.46,15.92,12.21,5.43,16.29,0.72,38.40
2016,22.99,279.09,166.85,6.21,1.71,213.45,7.29,10.40,10.47,4.08,72.29,20.57,39.64
2017,14.04,542.39,457.12,5.83,2.21,165.15,13.47,16.57,21.40,7.00,102.58,6.46,56.97
