開發金,	2883
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,51.00,88.31,NA,NA,NA,NA,0.10,0.10,99.97,0.02,NA,NA,15.90
2002,18.51,NA,NA,NA,NA,NA,4.38,4.87,87.95,0.66,NA,NA,11.27
2003,17.17,NA,NA,NA,NA,NA,-8.67,-10.71,-103.22,-1.40,NA,NA,9.68
2004,11.84,NA,NA,NA,NA,NA,-3.34,-4.08,-311.85,-0.54,NA,NA,10.81
2005,11.47,NA,NA,NA,NA,NA,7.61,8.44,88.07,0.96,NA,NA,11.87
2006,10.49,NA,NA,NA,NA,NA,9.36,10.36,92.87,1.36,NA,NA,n/a
2007,15.78,NA,NA,NA,NA,NA,4.57,5.06,87.36,0.66,NA,NA,n/a
2008,19.96,NA,NA,NA,NA,NA,-4.26,-5.53,NA,-0.64,NA,NA,n/a
2009,19.20,NA,NA,NA,NA,NA,5.07,5.94,82.43,0.69,NA,NA,n/a
2010,16.93,NA,NA,NA,NA,NA,5.67,6.56,86.40,0.80,NA,NA,n/a
2011,17.18,NA,NA,NA,NA,NA,1.36,1.31,68.57,0.15,NA,NA,n/a
2012,14.53,NA,NA,NA,NA,NA,3.35,3.71,91.36,0.39,NA,NA,n/a
2013,73.90,NA,NA,NA,NA,NA,1.44,5.06,34.19,0.56,NA,NA,11.04
2014,81.04,NA,NA,NA,NA,NA,1.40,6.40,38.21,0.73,NA,NA,11.41
2015,80.52,NA,NA,NA,NA,NA,0.96,5.00,28.23,0.58,NA,NA,11.17
2016,81.27,NA,NA,NA,NA,NA,0.68,3.57,22.07,0.40,NA,NA,11.16
2017,89.58,NA,NA,NA,NA,NA,0.75,5.94,14.48,0.80,NA,NA,11.60
2018,91.77,NA,NA,NA,NA,NA,0.50,5.35,5.08,0.54,NA,NA,10.97
