富邦金,	2881
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,0.17,274.14,NA,NA,NA,NA,0.39,0.39,95.33,0.08,NA,NA,21.03
2002,10.86,790.60,NA,NA,NA,NA,6.11,6.29,96.20,1.25,NA,NA,16.74
2003,17.12,140.45,NA,NA,NA,NA,8.68,9.85,96.06,1.91,NA,NA,17.74
2004,12.38,30.07,NA,NA,NA,NA,8.61,9.90,100.13,2.02,NA,NA,18.33
2005,9.14,64.37,NA,NA,NA,NA,6.17,6.81,96.32,1.39,NA,NA,20.16
2006,90.26,NA,NA,NA,NA,NA,0.49,5.13,95.79,1.09,NA,NA,n/a
2007,9.20,NA,NA,NA,NA,NA,8.08,8.77,96.03,1.87,NA,NA,n/a
2008,14.75,NA,NA,NA,NA,NA,6.29,7.03,94.66,1.41,NA,NA,n/a
2009,11.64,NA,NA,NA,NA,NA,10.21,11.32,95.47,2.47,NA,NA,n/a
2010,12.39,NA,NA,NA,NA,NA,8.55,9.35,89.79,2.33,NA,NA,n/a
2011,14.78,NA,NA,NA,NA,NA,11.88,13.54,96.49,3.39,NA,NA,n/a
2012,10.92,NA,NA,NA,NA,NA,9.55,10.76,97.34,3.05,NA,NA,n/a
2013,93.07,NA,NA,NA,NA,NA,0.75,10.50,8.74,3.31,NA,NA,30.92
2014,92.35,NA,NA,NA,NA,NA,1.21,15.96,15.84,5.89,NA,NA,39.87
2015,93.72,NA,NA,NA,NA,NA,1.12,16.11,14.83,6.21,NA,NA,35.92
2016,93.28,NA,NA,NA,NA,NA,0.79,12.10,11.07,4.73,NA,NA,39.40
2017,92.94,NA,NA,NA,NA,NA,0.81,11.80,13.30,5.19,NA,NA,45.08
2018,93.92,NA,NA,NA,NA,NA,0.65,9.97,11.61,4.52,NA,NA,39.93
