愛山林,	2540
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,59.06,234.15,17.93,1.44,0.13,2807.69,-8.56,-22.19,-94.25,-3.08,NA,NA,12.34
2001,63.48,129.89,2.85,1.35,0.06,6083.33,-4.72,-18.24,-190.42,-2.09,NA,NA,10.40
2002,93.94,101.88,20.16,26.25,0.14,2607.14,-37.96,-161.42,-365.89,-9.19,8.61,79.70,0.95
2003,91.73,105.27,26.75,23.56,0.14,2607.14,0.75,-12.21,-8.98,-0.11,5.90,38.61,0.88
2004,93.67,108.98,37.32,19.84,0.05,7300.00,-2.33,-43.91,-119.67,-3.52,0.31,2.20,6.25
2005,92.49,108.81,33.43,13.07,0.00,*****,0.13,-11.58,-365.94,-0.48,NA,NA,3.86
2006,96.03,43.85,19.44,22.49,0.00,*****,-8.45,-152.75,-3090.85,-3.28,NA,NA,0.52
2007,93.73,127.88,83.80,5.69,0.00,*****,3.72,34.22,187.98,1.93,76.88,63.66,8.05
2008,80.51,90.19,53.07,0.66,0.01,*****,8.77,63.31,2853.44,6.63,NA,NA,14.33
2009,75.43,67.74,67.74,0.00,0.00,*****,-4.92,-30.41,0.00,-3.78,NA,NA,10.55
2010,78.35,51.71,51.70,0.00,0.00,*****,-5.84,-28.52,0.00,-2.63,NA,NA,7.91
2011,82.50,37.13,37.12,0.00,0.00,*****,-5.26,-31.85,0.00,-2.17,NA,NA,5.74
2012,88.03,57.86,57.51,0.05,0.00,*****,-6.58,-50.98,-6478.17,-2.33,NA,NA,3.41
2013,30.37,182.52,62.22,5.85,0.74,493.24,17.26,25.62,39.44,7.91,-59.33,-23.22,15.91
2014,29.09,485.32,272.48,3.66,0.80,456.25,2.62,3.02,6.70,0.73,0.00,0.00,24.31
2015,58.82,178.74,16.94,2.49,0.08,4562.50,3.48,5.84,25.60,1.46,0.00,0.00,25.78
2016,59.68,191.39,25.63,3.82,0.07,5214.28,3.63,6.66,22.48,1.78,-50.06,-44.69,27.55
2017,62.17,189.50,24.69,2.37,0.08,4562.50,0.96,0.44,1.80,0.12,-13.97,-12.81,27.68
2018,63.26,151.20,21.22,3.58,0.16,2281.25,2.51,4.49,9.93,1.26,0.00,0.00,28.38
