遠百,	2903
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,41.50,71.60,59.90,23.00,25.00,14.60,7.60,11.70,10.50,2.05,9.50,2.10,17.91
2001,45.40,102.60,90.50,34.00,31.30,11.66,0.30,0.10,0.10,0.01,28.80,5.10,15.22
2002,53.20,54.90,35.90,82.00,6.10,59.83,-1.50,-3.70,-3.30,-0.59,3.10,0.10,14.62
2003,53.50,22.20,15.10,103.00,7.80,46.79,1.30,2.00,1.70,0.33,22.90,6.10,15.85
2004,50.40,20.20,15.10,101.00,9.40,38.82,4.60,9.00,8.60,1.59,7.20,1.00,18.28
2005,50.40,28.40,24.50,95.00,67.40,5.41,3.00,5.50,5.40,0.98,20.00,4.20,18.24
2006,49.90,25.40,22.50,58.00,65.00,5.61,1.90,3.00,3.20,0.56,29.50,8.30,19.92
2007,45.00,16.80,12.80,61.00,68.50,5.32,4.10,7.10,7.80,1.47,21.30,4.00,22.23
2008,50.70,16.10,12.00,96.00,60.00,6.08,1.00,1.30,1.40,0.25,18.90,1.30,17.81
2009,47.60,16.50,11.50,118.00,69.20,5.27,4.50,8.60,8.70,1.62,28.00,6.00,20.25
2010,47.50,14.90,10.40,126.00,92.40,3.95,5.40,10.20,10.40,2.09,29.70,5.80,21.08
2011,53.34,15.69,11.15,82.72,76.19,4.79,4.11,8.07,7.75,1.64,20.51,4.23,20.64
2012,53.01,19.01,14.44,71.07,79.12,4.61,3.18,6.18,4.33,1.24,28.40,6.00,20.37
2013,67.22,46.88,37.89,38.88,7.65,47.71,2.98,8.41,6.42,1.54,11.42,6.10,20.69
2014,64.66,43.48,34.59,58.36,7.68,47.52,2.28,5.69,4.71,1.07,14.52,6.11,22.12
2015,65.34,40.95,31.98,63.21,7.47,48.86,2.32,5.64,4.78,1.20,9.38,3.35,20.76
2016,65.68,45.11,37.17,52.79,7.37,49.52,1.74,4.08,3.43,0.81,11.41,6.70,20.32
2017,65.13,49.51,42.62,37.63,7.60,48.02,2.09,5.03,4.48,1.09,14.02,10.82,20.58
