聯邦銀,	2838
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,91.25,246.97,NA,NA,NA,NA,0.22,2.57,2.80,0.28,NA,NA,11.19
2001,91.07,611.80,NA,NA,NA,NA,0.04,0.42,0.50,0.05,NA,NA,11.10
2002,91.34,769.59,NA,NA,NA,NA,-0.75,-8.58,-12.55,-0.94,NA,NA,10.20
2003,91.82,626.26,NA,NA,NA,NA,0.70,8.28,11.48,0.91,NA,NA,11.22
2004,92.42,NA,NA,NA,NA,NA,0.71,9.02,10.88,1.07,NA,NA,12.35
2005,94.43,NA,NA,NA,NA,NA,-1.20,-18.66,-18.72,-1.94,NA,NA,10.04
2006,94.83,NA,NA,NA,NA,NA,0.09,1.65,2.84,0.17,NA,NA,0
2007,94.95,NA,NA,NA,NA,NA,-1.37,-26.87,-62.26,-2.65,NA,NA,0
2008,95.22,NA,NA,NA,NA,NA,-0.34,-6.88,-19.31,-0.63,NA,NA,0
2009,94.95,NA,NA,NA,NA,NA,0.07,1.48,3.84,0.13,NA,NA,0
2010,94.47,NA,NA,NA,NA,NA,0.40,7.50,20.44,0.92,NA,NA,0
2011,94.48,NA,NA,NA,NA,NA,0.48,8.69,25.00,1.00,NA,NA,0
2012,94.09,NA,NA,NA,NA,NA,0.65,11.35,35.18,1.41,NA,NA,0
2013,93.48,359.88,NA,NA,NA,NA,0.68,10.73,27.53,1.30,NA,NA,12.82
2014,93.35,304.96,NA,NA,NA,NA,0.67,10.24,28.56,1.26,NA,NA,13.07
2015,93.08,334.21,NA,NA,NA,NA,0.63,9.32,26.73,1.20,NA,NA,13.39
2016,93.20,272.30,NA,NA,NA,NA,0.51,7.45,22.15,1.01,NA,NA,13.80
2017,91.48,190.73,NA,NA,NA,NA,0.50,6.55,22.17,1.05,NA,NA,17.08
