基泰,	2538
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,63.34,134.77,17.89,3.76,0.11,3318.18,0.42,0.74,2.92,0.10,*****,*****,12.73
2001,68.11,109.51,4.34,4.70,0.03,12166.66,-2.82,-10.09,-95.78,-1.22,*****,*****,12.01
2002,67.40,131.13,13.74,4.16,0.29,1258.62,2.60,3.97,5.06,0.51,1.81,2.32,12.34
2003,58.29,135.51,30.36,2.33,0.35,1042.85,3.17,6.49,9.63,0.88,35.80,33.82,13.17
2004,46.97,171.29,24.51,1.34,0.20,1825.00,0.58,-0.61,-2.04,-0.09,44.54,26.62,13.88
2005,42.54,108.14,40.57,5.63,0.55,663.63,-3.17,-7.36,-17.68,-0.98,85.56,33.79,12.89
2006,51.00,185.68,37.56,102.31,0.78,467.94,8.87,16.09,18.20,2.05,24.07,20.09,13.77
2007,49.55,188.99,24.62,51.76,0.23,1586.95,7.73,14.74,27.39,2.00,NA,NA,14.87
2008,59.38,160.65,15.22,41.52,0.18,2027.77,4.44,8.52,18.21,1.19,NA,NA,14.22
2009,52.99,180.46,12.67,65.29,0.24,1520.83,5.22,10.68,16.63,1.50,8.18,5.06,14.60
2010,39.12,241.59,27.63,100.83,0.26,1403.84,5.97,10.52,17.98,1.52,69.90,39.82,14.91
2011,42.74,219.19,18.83,60.31,0.20,1825.00,6.86,11.17,27.90,1.68,NA,NA,15.44
2012,47.93,218.60,60.04,7.11,0.42,869.04,7.33,13.09,14.76,2.06,6.50,NA,15.98
2013,50.53,185.46,27.81,37.17,0.16,2281.25,7.65,14.68,34.34,2.22,10.80,1.62,15.63
2014,59.64,149.62,36.39,27.58,0.07,5214.28,8.83,19.35,56.45,3.18,16.59,15.02,17.26
2015,52.30,196.72,46.80,162.30,0.26,1403.84,9.78,21.17,32.83,4.02,2.83,-2.75,20.15
2016,55.16,179.20,41.72,27.66,0.04,9125.00,-0.05,-1.12,-14.32,-0.23,-0.84,-5.52,18.27
2017,57.56,173.85,41.34,14.26,0.02,18250.00,0.79,0.71,18.97,0.12,-6.03,-8.20,17.27
2018,60.65,161.47,39.52,7.58,0.00,*****,0.97,0.65,34.08,0.10,-9.29,-11.06,16.64
