日盛金,	5820
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2002,1.69,34.86,NA,NA,NA,NA,-3.19,-3.25,-102436.05,-0.47,NA,NA,13.21
2003,2.41,32.43,NA,NA,NA,NA,-1.52,-1.56,-112734.41,-0.22,NA,NA,13.00
2004,8.07,30.80,NA,NA,NA,NA,3.60,3.76,93.43,0.54,NA,NA,14.51
2005,23.69,1475.09,NA,NA,NA,NA,-13.02,-15.53,-308.90,-2.07,NA,NA,12.34
2006,24.97,630.64,NA,NA,NA,NA,-36.78,-48.79,-101.79,-4.32,NA,NA,0
2007,25.98,NA,NA,NA,NA,NA,0.20,0.27,21.88,0.03,NA,NA,0
2008,21.77,12.12,NA,NA,NA,NA,-12.21,-16.09,-12652.93,-1.75,NA,NA,0
2009,22.15,32.96,NA,NA,NA,NA,-18.50,-23.71,-49916.54,-1.45,NA,NA,0
2010,19.62,26.85,NA,NA,NA,NA,8.27,10.45,92.21,1.17,NA,NA,0
2011,18.71,17.11,NA,NA,NA,NA,5.82,7.20,91.54,0.80,NA,NA,0
2012,16.10,15.60,NA,NA,NA,NA,5.11,6.19,91.40,0.69,NA,NA,0
2013,86.33,156.00,NA,NA,NA,NA,1.35,6.33,28.30,0.68,NA,NA,10.85
2014,86.11,166.00,NA,NA,NA,NA,1.49,7.03,30.47,0.76,NA,NA,11.15
2015,86.05,166.00,NA,NA,NA,NA,1.25,5.42,26.29,0.58,NA,NA,11.02
2016,86.84,153.00,NA,NA,NA,NA,0.92,3.78,19.97,0.40,NA,NA,10.58
2017,86.79,160.00,NA,NA,NA,NA,1.18,6.10,28.59,0.67,NA,NA,11.41
2018,86.13,177.00,NA,NA,NA,NA,1.23,5.80,29.25,0.71,NA,NA,12.46
