德記,	5902
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,41.09,191.39,131.14,5.91,12.28,29.72,5.07,6.41,1.95,0.90,48.96,21.00,14.50
2001,36.90,165.28,114.33,6.08,11.33,32.21,3.34,4.45,1.43,0.64,32.01,15.73,14.47
2002,38.93,170.40,111.04,6.54,7.90,46.20,-0.09,-0.56,-0.20,-0.08,NA,NA,14.07
2003,47.46,277.56,128.03,9.70,4.46,81.83,2.04,3.00,1.13,0.43,NA,NA,14.58
2004,40.89,127.84,83.32,14.90,5.58,65.41,-8.27,-16.09,-5.62,-2.16,177.34,55.01,12.32
2005,35.63,122.01,83.14,7.47,3.04,120.06,-9.60,-16.00,-32.85,-1.83,61.62,13.53,10.54
2006,34.74,47.30,28.93,13.78,3.69,98.91,-5.22,-8.75,-24.08,-0.88,9.00,2.19,9.64
2007,35.83,27.48,20.96,9.56,6.62,55.13,-7.54,-11.75,-32.00,-1.01,-11.40,-3.30,8.60
2008,65.27,73.84,50.07,9.78,7.28,50.13,-47.99,-94.36,-216.70,-5.61,0.00,0.00,2.47
2009,38.53,99.65,71.29,7.81,3.90,93.58,-5.68,-15.44,22.34,-1.50,-89.93,NA,8.20
2010,43.30,75.97,43.75,6.52,7.18,50.83,-9.53,-16.54,-17.79,-1.24,-28.41,0.00,6.76
2011,51.66,61.91,41.17,6.90,7.24,50.41,-5.31,-11.15,-7.75,-0.72,-20.09,0.00,6.13
2012,52.41,75.61,39.12,8.60,7.64,47.77,0.57,0.18,0.07,0.01,-17.32,0.00,6.10
2013,46.53,71.56,34.88,22.42,8.73,41.80,2.36,4.04,1.28,0.21,16.64,17.72,6.49
2014,45.06,75.60,34.27,14.29,9.41,38.78,1.46,2.15,0.66,0.14,-6.65,-7.07,6.63
2015,45.06,81.30,39.36,12.96,8.47,43.09,2.37,3.78,1.21,0.26,12.47,13.07,6.89
2016,44.06,87.92,52.82,10.75,10.12,36.06,3.18,5.24,1.74,0.37,2.53,2.50,7.27
2017,35.52,91.02,51.71,9.20,13.08,27.90,2.49,3.81,1.46,0.28,9.91,6.69,7.53
