愛地雅,	8933
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,55.15,153.17,111.77,4.06,5.24,69.65,5.30,8.42,3.52,0.97,-11.12,-8.50,12.01
2001,57.06,139.71,112.82,2.68,3.58,101.95,2.47,2.26,1.63,0.25,2.93,2.68,11.40
2002,60.25,131.23,105.50,3.53,4.86,75.10,6.66,13.86,7.88,1.65,1.34,1.46,12.76
2003,50.54,145.08,116.19,3.83,5.20,70.19,4.47,9.18,5.39,1.09,-7.04,-12.54,13.16
2004,59.95,119.69,70.93,4.24,3.87,94.31,2.57,4.84,2.66,0.60,2.90,0.86,12.54
2005,59.40,144.66,97.00,4.11,4.00,91.25,4.17,8.62,3.63,1.09,-8.82,-8.52,13.16
2006,52.06,147.24,99.56,2.94,2.94,124.14,1.93,3.11,2.06,0.40,40.75,32.16,13.57
2007,54.04,144.50,94.16,4.64,2.79,130.82,2.01,3.00,2.02,0.41,20.08,17.03,13.70
2008,64.24,118.75,73.19,4.28,3.12,116.98,1.23,1.27,0.62,0.16,-28.31,-42.18,11.80
2009,57.09,142.97,107.60,3.62,4.33,84.29,6.59,15.07,6.49,2.00,22.80,17.25,14.93
2010,58.92,123.64,94.26,3.00,5.27,69.25,2.51,4.04,2.31,0.55,5.09,2.85,13.30
2011,56.71,117.35,90.65,2.81,5.64,64.71,4.15,7.84,4.63,1.04,-12.30,-11.54,13.92
2012,54.37,111.00,83.68,2.26,4.78,76.35,3.08,5.25,3.99,0.71,7.79,5.03,13.72
2013,58.45,134.95,92.70,3.04,3.62,100.82,5.02,15.69,3.23,1.57,18.79,25.54,14.80
2014,57.75,155.58,88.27,2.86,2.72,134.19,3.05,6.42,3.07,0.89,-9.38,-11.71,15.67
2015,59.76,155.25,106.93,3.35,3.35,108.95,4.95,11.96,4.33,1.78,-17.40,-21.45,16.81
2016,57.76,146.15,106.65,2.17,3.24,112.65,1.62,2.71,1.37,0.40,3.57,1.07,16.11
2017,57.15,152.89,112.62,1.99,3.89,93.83,0.00,-1.47,-0.82,-0.22,4.50,3.54,14.63
