農林,	2913
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,66.48,13.00,11.69,4.68,46.76,7.80,-2.97,-12.48,-34.97,-1.10,-6.71,-2.70,7.64
2001,62.85,13.18,7.45,4.10,22.63,16.12,3.00,2.00,6.00,0.12,NA,NA,7.84
2002,71.00,12.00,10.00,4.67,21.08,17.31,-8.97,-31.00,-102.00,-2.14,NA,NA,5.57
2003,69.00,11.00,10.00,3.76,24.63,14.81,0.80,-2.00,-6.00,-0.11,NA,NA,7.04
2004,77.00,10.00,8.00,5.56,18.08,20.18,-12.38,-50.00,-125.00,-3.09,NA,NA,4.75
2005,60.00,8.00,6.00,5.27,13.31,27.42,-2.33,-11.00,-36.00,-0.97,NA,NA,10.81
2006,58.00,6.00,4.00,7.45,14.91,24.48,0.34,-2.00,-9.00,-0.16,NA,NA,10.00
2007,52.86,31.86,5.96,3.58,0.64,570.31,1.59,1.02,16.79,0.10,NA,NA,10.30
2008,48.49,39.01,8.61,5.39,0.60,608.33,1.13,0.16,1.79,0.02,NA,NA,10.18
2009,46.44,48.92,18.35,4.68,0.54,675.92,1.49,1.36,18.99,0.23,NA,NA,18.16
2010,37.94,146.72,20.01,8.88,0.66,553.03,1.41,1.79,17.37,0.31,0.00,0.00,17.75
2011,39.30,130.88,28.34,6.89,0.45,811.11,1.48,1.92,22.65,0.34,0.00,0.00,17.83
2012,42.52,100.07,18.99,13.30,0.57,640.35,4.91,8.01,60.02,1.52,13.94,1.94,18.90
2013,33.44,202.53,59.16,7.52,0.62,588.70,4.90,7.49,58.21,1.52,33.57,15.31,20.24
2014,30.44,362.36,101.53,7.56,0.63,579.36,4.15,5.88,46.52,1.16,11.99,-7.64,20.88
2015,37.31,427.24,81.98,4.82,0.27,1351.85,3.36,4.88,81.16,1.01,14.17,-4.88,20.95
2016,34.11,194.44,14.83,6.78,0.16,2281.25,1.44,1.92,50.78,0.40,NA,NA,20.86
2017,31.04,119.91,27.87,75.28,1.07,341.12,2.74,3.84,27.62,0.81,193.90,25.90,21.15
