大樹,	6469
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2013,37.02,236.49,113.62,23.99,5.50,66.36,18.23,29.29,5.99,4.51,35.02,11.21,15.76
2014,37.94,227.48,130.65,22.58,5.52,66.12,15.67,25.11,5.77,4.65,32.69,9.59,23.03
2015,37.70,213.08,102.65,17.23,5.67,64.37,9.40,15.12,3.59,3.35,-0.98,-3.82,23.43
2016,42.46,189.87,104.76,13.26,5.73,63.69,8.64,14.54,3.31,3.57,24.03,9.22,27.77
2017,47.52,165.18,89.63,13.15,5.76,63.36,7.28,13.27,2.82,3.36,21.69,12.69,26.38
