曜越,	3540
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2005,30.29,310.49,271.29,2.06,8.05,45.34,6.27,8.79,5.28,1.01,7.06,2.67,11.94
2006,49.48,185.23,175.52,5.92,39.29,9.28,20.48,36.75,7.44,5.13,64.89,13.60,16.04
2007,36.80,260.00,247.67,5.75,46.42,7.86,21.44,36.67,10.51,8.46,36.94,9.49,27.14
2008,25.67,346.21,324.77,5.59,43.24,8.44,16.64,24.29,9.31,6.48,6.80,-13.95,27.03
2009,18.94,389.61,366.26,3.90,26.77,13.63,4.04,5.21,3.72,1.24,1.56,23.21,23.56
2010,29.55,267.17,256.26,4.52,49.23,7.41,0.07,0.07,0.04,0.02,-20.18,-12.31,21.73
2011,38.88,198.79,188.57,3.16,39.72,9.18,1.66,2.48,1.43,0.55,32.98,16.31,22.59
2012,42.10,176.17,165.86,2.97,26.98,13.52,2.12,3.50,1.91,0.78,3.35,-2.82,21.78
2013,42.05,167.61,159.16,2.77,27.02,13.50,-0.95,-1.69,-0.91,-0.35,12.21,1.87,20.29
2014,41.37,157.42,149.47,2.67,30.08,12.13,1.71,2.75,1.53,0.55,0.12,-2.51,20.18
2015,44.69,197.87,109.57,5.08,2.18,167.43,1.33,2.08,1.03,0.41,-2.99,-5.24,19.92
2016,49.99,178.60,104.87,4.73,2.21,165.15,3.38,6.19,2.61,1.28,10.00,7.49,20.49
2017,53.06,170.99,110.33,4.84,2.49,146.58,4.55,9.09,3.45,1.80,21.00,17.33,20.36
2018,54.53,168.98,97.30,4.82,2.46,148.37,4.65,9.73,3.49,2.04,-12.00,-19.24,21.67
