寶齡富錦,	1760
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2009,65.00,98.00,65.00,2.49,1.68,217.26,1.20,1.89,0.91,0.17,16.78,17.10,9.59
2010,66.00,140.00,82.00,2.39,1.40,260.71,-4.12,-13.61,-7.00,-1.17,9.30,6.37,8.39
2011,68.00,121.00,66.00,4.86,1.42,257.04,-3.54,-12.63,-6.22,-1.07,1.26,1.08,8.53
2012,62.00,114.00,66.00,2.85,1.58,231.01,-3.79,-14.44,-7.03,-1.19,8.29,6.22,7.95
2013,34.38,235.70,158.57,3.65,2.22,164.41,2.07,3.39,1.83,0.46,33.39,10.58,15.10
2014,35.84,212.15,137.02,4.05,2.27,160.79,4.50,6.94,4.68,1.01,24.86,8.69,14.80
2015,34.06,217.04,142.10,4.24,2.41,151.45,6.39,9.82,6.05,1.30,18.47,6.10,13.78
2016,32.30,220.54,155.23,3.44,2.27,160.79,7.60,11.34,8.55,1.45,56.97,13.03,13.02
2017,33.04,228.40,156.31,4.07,2.68,136.19,7.43,11.03,7.46,1.33,34.13,5.53,12.26
2018,26.40,320.00,235.00,4.50,2.30,158.69,10.33,14.56,11.30,2.09,18.61,-2.32,17.60
