仁寶,	2324
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,35.49,131.74,99.97,8.35,12.75,28.62,13.80,19.70,8.05,3.84,11.24,-1.18,20.66
2001,32.76,170.64,144.02,5.56,13.41,27.21,10.00,14.96,7.03,2.66,47.65,19.53,19.07
2002,48.29,258.02,230.60,6.22,19.16,19.05,10.85,18.25,6.80,3.21,16.30,3.68,18.33
2003,45.04,210.16,187.35,5.28,20.57,17.74,11.47,20.52,6.97,3.80,14.84,3.77,19.63
2004,45.81,154.73,135.83,5.56,24.14,15.12,6.24,10.87,3.11,1.95,17.90,1.86,17.19
2005,46.59,196.73,172.15,5.90,23.58,15.47,7.70,13.78,3.81,2.43,20.97,5.48,18.36
2006,53.92,129.64,116.56,6.02,28.22,12.93,6.45,12.87,2.89,2.35,17.54,12.75,18.93
2007,50.38,158.80,140.88,6.77,35.10,10.39,8.82,18.31,3.20,3.58,17.01,5.91,20.50
2008,47.37,159.15,136.44,6.46,29.75,12.26,8.32,16.19,3.12,3.26,8.34,-4.81,20.30
2009,65.97,118.24,92.90,5.81,19.45,18.76,8.84,21.87,3.07,4.91,1.67,-2.69,23.99
2010,62.30,123.55,109.28,5.22,21.87,16.68,7.96,22.06,2.76,5.38,8.85,5.48,25.85
2011,55.24,126.54,109.66,4.51,25.98,14.04,4.14,10.05,1.70,2.53,21.92,15.59,24.38
2012,60.86,116.66,99.42,4.60,23.50,15.53,2.55,6.03,1.06,1.47,NA,NA,24.43
2013,70.26,130.27,106.85,4.02,12.91,28.27,1.00,2.70,0.42,0.57,0.25,NA,22.04
2014,72.01,129.80,101.88,4.66,13.73,26.58,2.34,7.34,0.89,1.63,13.51,19.16,23.37
2015,66.58,137.00,113.71,4.93,14.31,25.50,2.74,8.35,1.06,2.01,5.08,2.46,23.71
2016,67.64,143.60,120.22,4.50,15.51,23.53,2.87,8.08,1.16,1.88,0.61,-2.37,24.19
2017,70.09,138.72,108.19,5.03,14.55,25.08,2.01,5.57,0.69,1.32,-0.94,-4.61,23.32
2018,71.70,132.29,103.06,5.08,12.61,28.94,3.08,8.65,1.00,2.05,0.00,-3.30,24.26
