逸昌,	3567
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2007,24.53,248.99,247.38,3.78,NA,NA,5.70,7.24,10.66,0.85,79.84,9.50,12.02
2008,30.35,251.40,249.93,3.96,NA,NA,3.62,4.93,7.44,0.59,137.53,11.70,11.74
2009,35.84,199.48,197.15,3.74,NA,NA,6.33,9.20,11.66,1.15,75.26,12.38,12.68
2010,32.13,245.32,243.11,4.28,NA,NA,11.17,16.27,16.78,2.32,161.94,17.01,14.41
2011,37.90,197.50,195.55,3.90,NA,NA,-0.43,-1.32,-1.86,-0.18,102.18,6.55,12.59
2012,31.62,240.14,236.86,4.48,NA,NA,-1.86,-3.67,-4.43,-0.45,122.37,11.68,12.06
2013,18.51,347.95,339.66,4.41,NA,NA,3.46,4.30,5.03,0.53,175.40,10.94,12.52
2014,11.00,603.94,597.61,4.40,NA,NA,6.82,7.93,9.53,1.02,284.36,10.36,13.14
2015,9.21,388.05,384.67,3.84,NA,NA,8.29,9.21,13.13,1.23,296.98,6.24,13.64
2016,16.51,195.30,188.08,3.71,NA,NA,14.89,17.15,21.68,2.45,175.85,8.75,14.97
2017,17.65,151.23,151.23,3.48,NA,NA,14.91,17.97,23.36,2.76,156.26,6.42,15.70
2018,14.17,198.73,198.73,3.89,NA,NA,14.28,16.99,22.50,2.63,229.26,6.15,15.74
