愛之味,	1217
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,47.53,102.62,55.60,5.11,2.75,132.72,-2.63,-6.45,-8.95,-0.67,15.26,3.68,9.68
2001,50.97,93.76,55.08,5.59,3.11,117.36,-1.19,-6.01,-6.92,-0.57,9.28,2.50,9.21
2002,51.77,108.48,68.81,5.75,5.83,62.60,4.08,4.53,3.89,0.43,5.05,1.37,9.47
2003,50.62,91.74,48.60,5.89,4.40,82.95,3.66,4.71,3.97,0.46,20.28,6.26,10.05
2004,54.28,74.30,43.78,6.58,3.45,105.79,2.02,1.46,1.26,0.15,3.64,1.72,10.03
2005,54.59,100.03,57.49,6.38,3.78,96.56,3.04,4.17,3.53,0.43,12.15,3.01,10.66
2006,52.73,92.04,53.45,6.58,4.22,86.49,-1.86,-6.59,-5.69,-0.69,15.89,4.09,10.17
2007,52.58,69.31,40.17,7.36,4.11,88.80,-1.84,-6.47,-5.69,-0.63,3.65,1.49,9.42
2008,43.06,99.16,56.31,7.20,3.54,103.10,2.56,2.72,2.83,0.25,3.32,0.91,9.80
2009,41.50,204.83,124.36,7.31,3.37,108.30,2.69,3.54,4.06,0.36,45.32,5.21,10.31
2010,42.88,159.61,91.07,7.47,3.13,116.61,2.89,3.76,4.90,0.40,29.90,3.97,10.79
2011,44.24,177.62,127.58,6.65,3.33,109.60,1.02,0.22,0.34,0.02,29.82,3.29,10.85
2012,49.13,106.61,75.88,5.95,4.42,82.57,1.41,0.97,1.46,0.10,11.32,1.84,10.75
2013,55.97,142.69,106.44,6.73,4.61,79.17,-0.05,-2.76,-3.15,-0.28,9.85,1.91,10.37
2014,54.51,84.88,57.51,7.92,4.26,85.68,-1.94,-7.44,-9.55,-0.73,-3.87,-1.12,10.96
2015,46.51,77.77,48.70,7.31,4.06,89.90,1.46,1.11,1.48,0.09,0.18,0.05,11.08
2016,47.67,74.26,50.33,6.96,4.72,77.33,1.82,2.14,2.80,0.21,4.47,1.15,10.82
2017,49.97,70.56,43.59,7.10,4.75,76.84,2.02,2.69,3.50,0.27,2.88,0.66,10.95
