雷虎,	8033
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2002,23.29,326.35,212.55,5.43,2.17,168.20,10.19,12.76,12.27,1.45,73.47,15.57,12.80
2003,24.71,296.21,203.33,6.48,2.23,163.67,15.82,20.72,18.03,2.69,107.22,22.05,14.01
2004,24.83,334.51,252.65,8.92,3.01,121.26,17.08,22.57,17.29,3.06,120.08,21.18,14.53
2005,27.16,235.53,156.39,16.52,3.20,114.06,20.48,27.57,21.93,3.97,108.86,18.40,15.86
2006,31.12,144.75,68.14,20.65,2.68,136.19,13.12,18.29,16.35,2.73,73.71,18.50,15.15
2007,34.97,167.81,94.08,12.92,3.40,107.35,8.63,12.56,10.54,1.82,51.68,10.71,14.86
2008,39.94,98.41,39.13,6.16,2.33,156.65,0.95,0.99,1.17,0.14,2.29,-6.11,13.63
2009,37.24,89.33,39.09,6.18,2.23,163.67,-2.20,-4.25,-5.55,-0.55,16.49,4.02,12.45
2010,40.96,77.36,47.03,6.67,3.24,112.65,-11.85,-20.03,-24.84,-2.18,NA,NA,9.36
2011,43.45,69.84,35.99,5.32,3.31,110.27,-5.72,-10.65,-11.97,-0.99,7.31,3.96,9.28
2012,52.04,69.90,47.56,4.88,3.20,114.06,-11.60,-23.03,-25.43,-1.93,3.86,3.33,7.08
2013,48.57,114.00,36.87,10.04,1.14,320.17,2.18,1.19,0.82,0.21,1.71,1.14,8.21
2014,45.57,127.34,54.10,10.02,1.30,280.76,-8.79,-20.00,-15.23,-1.55,NA,NA,8.02
2015,38.94,157.75,67.50,7.70,0.97,376.28,-10.05,-19.91,-21.85,-1.51,NA,NA,7.00
2016,25.32,311.56,140.33,5.80,1.01,361.38,-14.03,-21.83,-28.20,-1.52,NA,NA,5.41
2017,31.54,285.89,167.04,5.32,1.70,214.70,-6.59,-10.01,-9.36,-0.81,NA,NA,5.80
2018,32.64,282.27,163.84,5.66,1.53,238.56,-2.24,-3.90,-3.36,-0.45,17.62,0.48,5.41
