事欣科,	4916
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2009,49.14,181.79,118.34,5.28,5.63,64.83,16.14,36.12,7.70,5.94,NA,NA,13.83
2010,47.89,213.87,88.32,9.24,4.42,82.57,34.62,66.23,16.36,10.52,69.81,26.66,21.14
2011,45.89,211.56,108.48,7.46,3.71,98.38,28.36,52.66,16.20,12.44,17.21,0.00,28.04
2012,32.49,341.93,218.01,5.58,3.41,107.03,15.74,25.22,13.23,7.54,157.49,18.13,34.45
2013,29.47,415.41,282.19,6.26,3.04,120.06,9.93,14.43,8.88,2.51,28.14,1.03,18.62
2014,26.53,675.62,459.48,6.02,2.97,122.89,0.93,0.90,0.78,0.16,127.40,4.93,17.49
2015,39.49,244.24,136.37,6.06,2.92,125.00,-1.11,-2.37,-1.82,-0.39,-34.95,0.00,15.80
2016,55.32,123.86,66.31,6.13,3.31,110.27,7.03,12.60,6.05,2.01,8.84,5.82,17.33
2017,57.95,138.79,77.50,4.69,2.67,136.70,3.54,7.02,2.98,1.06,6.80,3.23,15.27
2018,57.42,139.65,77.15,4.19,2.42,150.82,3.84,7.87,3.42,3.06,0.00,0.00,17.94
