盛餘,	2029
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,24.70,150.00,47.80,15.70,6.70,54.47,6.90,8.50,5.70,1.57,55.60,3.30,18.32
2001,28.60,140.40,56.10,21.90,8.40,43.45,5.00,5.80,3.00,1.06,32.80,2.20,18.15
2002,24.20,188.50,83.80,16.40,9.40,38.82,12.40,16.30,7.50,3.13,87.10,8.90,20.26
2003,17.60,300.60,155.80,16.40,9.60,38.02,15.80,19.70,9.60,4.11,238.30,13.10,21.76
2004,20.40,329.70,125.40,21.30,8.50,42.94,20.90,25.60,10.10,5.93,127.30,6.50,24.64
2005,16.00,407.90,110.40,20.70,7.10,51.40,9.10,11.10,4.80,2.67,164.10,0.30,23.19
2006,21.60,318.40,97.46,18.60,6.00,60.83,13.80,17.00,7.00,4.10,40.00,0.00,25.22
2007,19.80,377.80,105.95,16.20,5.90,61.86,7.70,9.70,3.70,2.41,94.40,1.74,24.65
2008,17.68,489.49,189.70,23.68,6.93,52.66,6.87,8.40,3.14,2.08,221.25,9.93,24.81
2009,18.08,446.64,189.17,17.72,5.40,67.59,0.11,0.13,0.07,0.03,77.23,1.38,23.41
2010,18.17,524.67,192.86,18.13,6.38,57.21,1.28,1.56,0.69,0.37,32.08,1.26,23.52
2011,16.78,584.93,259.62,21.88,6.17,59.15,5.15,6.24,2.76,1.50,184.54,7.80,24.71
2012,17.05,586.66,335.25,18.68,6.76,53.99,1.63,1.97,0.99,0.48,137.16,3.83,24.04
2013,19.51,549.65,359.16,14.22,7.32,49.86,5.23,6.52,3.38,1.59,103.50,5.08,25.21
2014,19.98,621.30,405.91,16.69,7.64,47.77,4.18,5.19,2.61,1.36,124.09,4.57,25.33
2015,20.01,731.32,566.37,19.03,6.86,53.20,-0.88,-1.14,-0.70,-0.29,213.72,7.72,23.95
2016,16.30,589.30,455.97,17.85,7.34,49.72,12.59,15.35,10.05,3.96,76.06,3.08,28.24
2017,12.96,668.15,412.50,16.70,6.13,59.54,7.05,8.21,5.44,2.32,-2.79,-4.25,28.23
