鄉林,	5531
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,56.52,161.00,34.16,4.89,0.78,467.94,3.24,5.53,3.53,0.59,2.69,2.99,11.05
2001,45.91,191.13,65.06,4.65,1.04,350.96,3.38,6.69,4.18,0.71,29.41,24.17,11.04
2002,38.24,216.96,89.67,2.46,0.83,439.75,2.04,3.37,3.83,0.38,29.40,17.96,11.41
2003,51.60,165.45,64.15,2.80,0.51,715.68,1.83,3.38,5.71,0.39,-0.53,-5.62,11.80
2004,64.16,144.27,72.25,3.03,1.06,344.33,15.24,38.05,20.45,5.55,NA,NA,17.35
2005,70.67,135.25,33.92,2.41,0.66,553.03,11.28,35.37,22.42,4.58,NA,NA,15.23
2006,75.90,125.42,45.78,2.33,0.67,544.77,11.95,45.66,22.01,6.38,NA,NA,17.15
2007,57.97,160.18,23.28,3.06,0.48,760.41,13.74,41.98,28.03,6.06,46.32,NA,17.46
2008,64.93,147.71,12.31,26.18,0.19,1921.05,5.08,13.10,20.35,1.92,NA,NA,14.76
2009,66.05,146.63,17.35,100.96,0.16,2281.25,3.54,10.09,17.94,1.43,NA,NA,14.84
2010,64.54,150.38,25.59,110.95,0.10,3650.00,4.47,12.83,29.96,1.85,NA,NA,15.34
2011,63.52,156.87,13.60,91.46,0.21,1738.09,5.24,14.33,18.67,2.06,-12.28,-18.05,15.38
2012,60.01,173.07,18.39,17.39,0.08,4562.50,3.08,7.55,22.51,1.00,11.06,11.92,13.72
2013,60.74,195.34,25.22,13.12,0.18,2027.77,9.54,24.76,31.13,4.03,-19.15,-19.54,16.07
2014,70.07,176.36,42.80,9.60,0.10,3650.00,2.75,7.54,18.33,1.37,-13.82,-17.53,13.85
2015,73.57,171.70,50.67,34.17,0.11,3318.18,0.77,-0.19,-0.49,0.25,-2.63,-3.59,12.45
2016,70.68,152.84,38.63,21.67,0.20,1825.00,1.62,2.94,4.75,0.57,4.71,8.69,12.53
2017,67.83,194.72,37.13,19.59,0.12,3041.66,2.09,4.06,10.04,0.63,4.87,5.04,12.44
2018,67.51,171.62,19.09,97.72,0.21,1738.09,1.03,-0.24,-0.41,0.17,1.16,0.89,11.97
