欣高,	9931
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,51.22,42.99,24.74,7.46,4.81,75.88,3.53,5.86,10.84,0.72,15.47,1.73,12.47
2001,51.03,46.86,27.34,6.69,5.19,70.32,2.02,3.25,6.53,0.40,24.34,2.84,12.27
2002,50.86,44.81,26.98,6.32,4.90,74.48,0.94,1.57,3.51,0.19,37.05,5.14,12.15
2003,54.61,47.54,36.52,6.47,5.27,69.25,2.13,4.47,8.93,0.55,24.98,6.33,12.38
2004,55.76,54.51,40.31,5.66,4.41,82.76,3.07,6.72,12.14,0.84,18.60,4.89,12.65
2005,57.86,42.54,29.18,6.05,3.60,101.38,2.85,6.47,9.58,0.82,18.55,7.00,12.76
2006,60.55,44.03,26.24,4.95,2.49,146.58,2.47,5.91,8.94,0.77,21.52,-0.68,13.17
2007,61.57,42.47,23.31,5.65,2.28,160.08,3.03,7.57,9.88,0.99,13.55,0.05,13.10
2008,64.65,40.32,20.41,7.54,2.50,146.00,3.42,8.87,9.04,1.11,9.82,2.94,11.88
2009,60.93,49.15,29.14,7.14,2.39,152.71,2.68,7.08,8.11,0.89,13.03,5.24,13.33
2010,59.10,47.52,29.14,8.28,2.82,129.43,5.16,12.82,14.62,1.76,11.37,1.36,14.07
2011,61.66,44.96,27.10,9.54,3.33,109.60,4.42,10.97,11.08,1.48,16.14,3.27,12.86
2012,56.88,55.19,37.54,8.89,3.91,93.35,5.85,14.15,13.67,1.97,13.37,4.78,14.99
2013,55.52,68.42,48.76,7.58,4.42,82.57,6.85,15.70,16.02,2.36,30.83,9.17,15.82
2014,52.70,72.55,55.61,9.46,5.56,65.64,4.76,10.37,10.31,1.57,30.93,8.04,15.61
2015,51.67,85.46,66.74,9.71,5.50,66.36,4.67,9.76,12.83,1.58,33.92,5.85,16.37
2016,52.53,80.24,58.72,8.62,4.37,83.52,5.24,10.95,17.04,1.81,26.50,4.96,16.47
2017,53.77,91.08,66.18,7.34,3.96,92.17,4.69,10.02,14.27,1.69,27.00,4.80,17.32
2018,53.32,88.84,73.63,7.91,5.08,71.85,5.38,11.57,14.49,2.07,46.24,11.36,18.48
