宏大,	8932
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,33.23,260.89,192.34,5.40,6.99,52.21,6.51,9.54,6.12,1.13,62.24,10.42,12.43
2001,32.64,226.05,166.83,6.05,7.32,49.86,5.14,6.63,4.88,0.82,71.54,7.41,12.31
2002,41.11,145.01,97.71,7.89,6.68,54.64,0.57,-0.08,-0.07,-0.01,29.53,6.47,11.05
2003,48.60,119.56,74.18,7.08,4.49,81.29,-3.19,-7.01,-6.27,-0.79,NA,NA,10.38
2004,52.87,107.13,60.84,7.04,3.70,98.64,-6.43,-14.31,-10.31,-1.47,NA,NA,9.65
2005,56.17,107.35,75.60,5.23,4.06,89.90,-7.60,-18.40,-10.31,-1.66,NA,NA,8.42
2006,56.41,121.57,84.47,3.58,4.20,86.90,-3.13,-8.97,-4.96,-0.73,NA,NA,7.80
2007,57.35,138.52,101.26,4.26,4.85,75.25,-2.78,-8.60,-4.46,-0.69,NA,NA,8.23
2008,49.52,133.04,93.76,5.29,4.35,83.90,1.89,1.71,1.18,0.14,NA,NA,8.38
2009,51.72,132.26,100.52,5.69,4.50,81.11,2.47,3.56,2.68,0.30,17.06,6.36,8.62
2010,53.82,111.92,83.29,7.61,5.43,67.21,2.49,3.78,2.27,0.33,10.31,4.63,8.62
2011,55.05,109.69,81.66,7.42,4.75,76.84,-0.18,-2.15,-1.43,-0.18,8.68,4.26,8.47
2012,56.53,99.98,71.91,6.54,5.42,67.34,-1.61,1.95,1.25,0.17,2.68,1.49,8.63
2013,69.52,88.19,53.58,6.41,4.86,75.10,4.63,11.04,3.30,0.84,12.17,8.64,8.10
2014,67.11,97.15,61.88,5.51,4.10,89.02,4.04,9.05,3.39,0.77,9.53,6.19,9.02
2015,67.40,99.81,64.90,4.91,3.93,92.87,3.22,6.82,2.79,0.63,5.18,3.22,9.32
2016,67.00,98.15,65.73,5.08,4.11,88.80,1.97,2.04,0.81,0.19,5.74,3.74,9.30
2017,74.53,93.61,71.54,4.53,3.98,91.70,-1.78,-10.34,-4.47,-0.92,0.57,0.48,8.47
2018,45.44,149.71,99.93,4.50,3.69,98.91,21.02,51.51,30.22,5.82,0.00,0.00,14.15
