研勤,	3632
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2008,48.13,285.30,-20303.94,3.60,12.96,28.16,14.20,28.54,23.37,3.64,50.99,7.70,14.18
2009,52.78,219.30,189.46,5.15,14.62,24.96,12.14,25.19,14.58,3.06,8.79,2.70,13.63
2010,50.09,232.53,174.91,4.26,7.33,49.79,11.83,22.88,12.46,2.81,NA,NA,13.43
2011,42.89,254.09,185.09,3.44,4.31,84.68,5.82,10.23,7.00,1.40,-39.09,-15.00,17.56
2012,54.19,244.92,155.68,3.50,3.70,98.64,3.07,5.00,3.02,0.81,-46.23,-15.92,16.77
2013,50.86,313.96,170.78,3.84,2.79,130.82,2.29,3.19,1.65,0.42,-59.46,-15.11,15.93
2014,58.98,356.51,217.04,4.06,3.18,114.77,-3.77,-10.34,-5.20,-1.98,30.28,5.75,13.77
2015,58.05,275.27,164.01,6.10,5.75,63.47,5.71,11.50,3.65,1.57,-22.38,-7.02,14.92
2016,69.22,158.93,85.51,3.50,3.58,101.95,-7.32,-22.34,-11.95,-2.89,-18.10,-11.59,11.04
2017,51.26,430.98,298.87,3.36,3.78,96.56,-3.13,-10.22,-6.31,-1.22,0.00,0.00,10.97
2018,43.37,249.54,150.32,3.14,3.68,99.18,-5.42,-11.96,-9.58,-1.23,0.00,0.00,9.59
