巨虹,	8084
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,22.01,386.57,364.46,5.77,23.81,15.32,14.90,21.01,4.80,2.01,106.99,28.57,13.41
2002,22.23,362.30,353.39,4.81,79.80,4.57,16.47,20.73,5.99,2.38,NA,NA,12.84
2003,38.19,214.78,204.66,3.51,71.94,5.07,7.81,11.00,3.60,1.24,NA,NA,11.82
2004,53.24,244.82,223.76,2.89,53.66,6.80,5.77,9.94,3.16,1.11,NA,NA,11.53
2005,57.83,123.96,108.79,2.55,29.27,12.47,2.71,5.24,1.64,0.58,0.61,0.77,11.21
2006,66.53,138.37,116.09,2.54,16.92,21.57,-9.82,-28.00,-7.25,-2.66,NA,NA,8.49
2007,46.64,179.85,157.98,2.95,20.39,17.90,5.76,11.06,2.54,1.26,NA,NA,12.55
2009,53.95,162.71,150.53,2.52,40.82,8.94,-1.53,-5.06,-1.57,-0.52,1.94,2.01,10.07
2010,59.54,136.44,132.65,2.79,61.98,5.88,-7.56,-19.51,-4.81,-1.77,0.00,0.00,8.09
2011,58.37,145.42,111.16,6.17,32.14,11.35,2.94,4.53,0.54,0.38,NA,NA,8.53
2014,45.33,201.45,199.68,2.39,20.98,17.39,2.19,2.76,0.73,0.29,NA,NA,10.62
2015,36.51,230.12,210.47,2.96,30.38,12.01,-1.37,-4.87,-1.27,-0.48,62.43,38.48,10.21
2016,14.89,510.40,487.55,5.64,33.00,11.06,2.67,4.22,0.80,0.50,146.27,27.25,10.65
2017,60.38,138.61,129.63,5.52,38.63,9.44,1.67,2.54,0.55,0.36,-23.60,-15.78,11.10
