嘉彰,	4942
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2010,13.98,254.37,240.24,2.02,43.28,8.43,12.37,14.49,52.61,6.08,NA,NA,42.97
2011,9.40,402.25,395.37,1.70,37.78,9.66,9.07,10.24,55.34,4.50,20.40,NA,46.91
2012,11.78,192.39,184.29,1.67,31.04,11.75,7.67,8.56,74.02,4.02,46.78,NA,47.14
2013,36.12,215.05,198.92,2.39,19.18,19.03,4.42,6.67,5.20,3.26,0.96,-2.71,50.58
2014,31.38,247.02,230.87,2.13,18.26,19.98,3.35,4.92,4.17,2.59,17.58,3.47,54.27
2015,29.07,276.19,254.24,1.89,15.59,23.41,-4.68,-6.83,-7.55,-3.49,40.33,9.15,49.19
2016,26.49,317.76,292.57,2.14,12.74,28.64,3.29,4.50,5.13,2.26,53.13,10.81,47.44
2017,29.99,280.81,260.40,2.32,13.81,26.43,2.69,3.68,3.93,1.75,10.32,0.68,46.49
