廣明,	6188
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,31.06,291.40,94.95,11.83,2.42,150.82,-0.99,-2.12,-1.15,-0.21,-163.43,-71.92,10.28
2001,49.43,192.47,150.39,7.66,5.46,66.84,22.39,39.41,10.48,5.05,56.03,52.77,15.32
2002,55.32,168.27,139.49,6.62,13.24,27.56,36.81,79.10,14.82,14.62,28.72,34.62,25.78
2003,43.62,210.58,187.61,6.79,24.42,14.94,26.82,50.36,13.45,11.76,-45.34,-37.38,32.23
2004,52.63,391.14,354.03,5.02,21.49,16.98,6.63,12.42,6.08,2.92,-10.69,-12.52,22.73
2005,50.97,153.52,139.72,4.43,15.72,23.21,12.07,24.99,17.27,5.83,57.86,52.26,25.15
2006,43.58,320.32,286.77,4.21,14.68,24.86,9.65,18.17,10.97,4.39,-3.38,-11.12,24.82
2007,38.82,205.13,180.12,4.67,16.42,22.22,12.41,20.26,9.28,5.24,26.27,7.46,27.40
2008,35.35,208.55,186.77,5.90,23.49,15.53,9.82,14.83,5.24,3.91,15.51,-4.21,27.11
2009,43.73,176.64,170.87,5.42,52.87,6.90,10.62,17.70,5.70,4.95,56.41,33.23,29.13
2010,55.43,142.43,138.19,2.80,97.27,3.75,4.17,8.16,4.37,2.31,-18.57,-32.10,27.50
2011,46.22,157.31,153.64,5.52,86.09,4.23,3.56,6.74,5.75,1.87,-22.98,-23.85,28.30
2012,57.51,130.26,125.82,6.54,63.51,5.74,2.87,5.69,3.95,1.61,-1.20,-6.01,28.32
2013,66.19,120.39,111.97,5.25,11.77,31.01,4.57,11.69,6.29,3.47,7.24,8.42,31.25
2014,61.30,128.09,116.78,5.26,8.82,41.38,4.98,11.98,6.80,3.85,9.14,4.17,33.03
2015,54.19,164.01,156.02,3.99,7.42,49.19,2.19,4.53,3.78,1.45,7.46,-1.51,30.87
2016,50.97,181.34,171.52,3.21,7.35,49.65,2.98,5.66,6.26,1.72,13.74,7.92,29.75
2017,61.38,152.71,143.62,3.84,6.12,59.64,2.24,3.54,3.84,1.04,5.10,2.19,28.77
