彰銀,	2801
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,93.27,NA,NA,NA,NA,NA,0.22,3.29,3.37,0.68,NA,NA,21.63
2001,93.31,NA,NA,NA,NA,NA,0.17,2.57,3.11,0.47,NA,NA,22.02
2002,95.64,NA,NA,NA,NA,NA,-2.09,-37.87,-51.45,-7.23,NA,NA,14.51
2003,94.38,NA,NA,NA,NA,NA,0.23,4.65,7.67,0.72,NA,NA,14.97
2004,94.25,NA,NA,NA,NA,NA,0.10,1.68,3.13,0.18,NA,NA,15.09
2005,94.34,NA,NA,NA,NA,NA,-2.74,-48.29,-85.44,-7.67,NA,NA,12.01
2006,93.94,NA,NA,NA,NA,NA,0.84,14.35,38.31,2.18,NA,NA,0
2007,93.76,NA,NA,NA,NA,NA,0.64,10.35,27.42,1.37,NA,NA,0
2008,94.23,NA,NA,NA,NA,NA,0.36,5.98,18.76,0.78,NA,NA,0
2009,94.51,NA,NA,NA,NA,NA,0.22,3.82,13.64,0.50,NA,NA,0
2010,94.24,NA,NA,NA,NA,NA,0.53,9.34,27.47,1.26,NA,NA,0
2011,93.98,NA,NA,NA,NA,NA,0.58,9.92,33.99,1.33,NA,NA,0
2012,93.55,NA,NA,NA,NA,NA,0.53,8.49,33.91,1.17,NA,NA,0
2013,93.39,NA,NA,NA,NA,NA,0.53,8.12,37.02,1.14,NA,NA,14.51
2014,93.43,NA,NA,NA,NA,NA,0.62,9.41,41.02,1.38,NA,NA,15.09
2015,93.21,NA,NA,NA,NA,NA,0.63,9.36,39.24,1.38,NA,NA,15.31
2016,93.14,NA,NA,NA,NA,NA,0.62,9.05,38.98,1.35,NA,NA,15.34
2017,92.88,NA,NA,NA,NA,NA,0.60,8.56,39.27,1.28,NA,NA,15.40
2018,92.48,NA,NA,NA,NA,NA,0.61,8.39,38.20,1.29,NA,NA,15.99
