德宏,	5475
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,49.58,139.16,103.52,5.03,4.79,76.20,20.55,38.38,20.36,5.14,43.91,20.11,15.79
2001,40.62,157.89,76.02,3.42,2.79,130.82,3.32,3.87,4.34,0.51,21.21,3.58,13.45
2002,48.55,99.07,55.30,4.71,2.87,127.17,-5.44,-12.33,-12.57,-1.41,6.31,2.39,10.71
2004,34.29,171.28,122.71,3.94,4.25,85.88,19.51,30.63,22.20,4.52,39.61,13.38,16.60
2005,31.51,159.67,110.66,3.08,4.13,88.37,0.30,0.15,0.15,0.02,20.78,1.23,13.93
2006,23.61,174.54,70.75,4.40,2.86,127.62,5.23,6.88,8.22,1.08,28.74,5.53,17.21
2007,20.67,155.66,76.76,6.50,2.62,139.31,3.95,4.80,7.71,0.74,12.08,-0.80,16.35
2008,19.58,168.33,97.12,4.23,2.01,181.59,-13.18,-16.81,-44.02,-2.23,54.28,8.19,11.70
2009,31.42,117.06,75.76,3.66,3.22,113.35,-9.47,-13.02,-22.06,-1.48,0.00,0.00,10.40
2010,32.83,144.11,76.98,5.01,5.80,62.93,9.38,13.50,12.64,1.48,21.01,5.36,11.52
2011,35.17,131.10,86.66,5.08,5.43,67.21,3.57,6.10,5.80,0.70,29.56,8.71,12.04
2012,43.37,150.14,87.59,3.97,4.31,84.68,0.33,0.11,0.12,0.01,0.00,-2.58,11.23
2013,59.82,183.60,111.76,2.56,2.58,141.47,-1.10,-5.39,-4.40,-0.60,0.00,0.00,11.04
2014,62.09,88.96,59.41,2.50,2.53,144.26,-1.91,-8.03,-6.24,-0.86,2.71,1.58,10.19
2015,70.56,84.09,54.88,2.26,2.32,157.32,-8.40,-28.67,-23.34,-2.54,5.16,3.09,7.50
2016,79.90,88.27,65.89,2.30,2.47,147.77,-14.27,-60.26,-34.30,-5.06,7.55,3.89,3.76
2017,73.50,79.75,63.15,2.64,4.00,91.25,4.13,12.74,4.51,0.80,15.98,9.05,6.35
