品安,	8088
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,79.60,117.58,71.63,24.40,14.95,24.41,3.17,3.82,0.21,0.39,*****,*****,n/a
2002,77.96,120.02,84.12,33.81,19.62,18.60,9.13,36.83,1.18,4.57,37.53,124.16,14.81
2003,76.08,124.85,73.46,28.29,14.53,25.12,6.13,24.08,1.14,2.85,-18.30,-36.29,13.26
2004,49.49,190.72,121.25,28.17,15.55,23.47,5.42,12.62,1.01,2.40,NA,NA,21.15
2005,53.17,178.37,122.72,15.86,12.72,28.69,-7.64,-16.86,-2.47,-2.91,NA,NA,15.48
2006,47.02,204.93,142.04,12.47,13.08,27.90,3.11,4.99,0.73,0.79,NA,NA,16.26
2007,34.10,315.88,231.19,13.35,15.47,23.59,0.32,-0.69,-0.10,-0.11,151.45,32.77,15.21
2009,36.22,239.44,191.96,14.08,30.35,12.02,-0.92,-2.36,-0.51,-0.35,0.00,0.00,14.25
2010,35.64,199.34,180.17,11.96,38.41,9.50,-3.78,-6.34,-1.10,-0.88,0.00,0.00,13.28
2011,42.94,170.66,132.02,10.57,26.76,13.63,3.54,5.01,0.99,0.69,7.68,0.16,13.97
2015,16.16,476.23,406.97,9.71,12.36,29.53,8.90,10.86,4.81,1.67,NA,NA,15.39
2018,17.39,337.35,256.00,9.74,7.78,46.91,3.01,3.80,1.91,0.53,203.32,27.38,14.37
