華容,	5328
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,27.64,182.51,146.82,2.39,4.82,75.72,6.48,7.81,14.41,1.23,-13.48,-3.38,16.32
2001,40.83,116.58,91.35,3.12,6.52,55.98,-4.12,-7.89,-9.23,-1.13,-5.40,-2.40,13.44
2002,40.86,111.10,87.36,3.00,8.03,45.45,1.34,0.56,0.49,0.08,-7.64,-3.88,13.69
2003,33.67,150.43,131.22,2.63,10.34,35.29,1.03,0.45,0.38,0.06,-15.17,-6.69,12.39
2004,42.79,127.20,117.29,2.82,14.05,25.97,-21.58,-35.62,-31.93,-3.74,31.04,18.59,8.68
2005,43.27,172.63,166.50,3.02,31.45,11.60,-9.15,-17.38,-10.75,-1.31,17.84,11.03,6.38
2006,48.50,166.70,165.21,3.01,91.59,3.98,-1.49,-4.19,-1.80,-0.26,6.94,5.17,6.10
2007,41.82,200.60,199.63,3.16,330.06,1.10,1.75,1.75,0.71,0.17,14.47,54.32,9.92
2008,42.18,240.22,239.67,2.63,649.80,0.56,1.60,0.80,0.57,0.08,48.78,12.87,9.99
2009,43.04,138.58,137.90,2.54,2062.49,0.17,-1.43,-3.89,-3.89,-0.39,50.67,30.80,9.51
2010,4.62,692.77,682.47,3.35,782.13,0.46,8.20,10.70,11.12,1.00,354.01,14.30,10.37
2011,6.82,499.22,496.72,3.20,634.35,0.57,1.20,1.24,2.06,0.13,127.48,8.08,10.57
2012,7.45,245.04,242.02,3.67,1488.26,0.24,-3.25,-3.54,-6.24,-0.36,186.93,11.19,9.90
2013,26.46,227.08,194.46,2.67,3.35,108.95,2.04,2.56,3.72,0.26,31.44,7.90,10.25
2014,25.64,261.85,226.62,2.64,3.39,107.66,-4.60,-6.49,-9.49,-0.65,8.41,1.86,9.76
2015,23.51,314.37,279.36,2.33,4.46,81.83,3.38,4.18,6.96,0.41,18.02,4.32,10.03
2016,22.93,299.63,273.21,2.50,4.87,74.94,3.26,3.95,7.03,0.41,46.07,10.75,10.50
2017,18.60,367.79,323.78,2.48,4.43,82.39,1.00,0.90,1.86,0.09,2.84,-2.01,9.92
