金寶,	2312
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,33.78,125.93,116.30,5.19,5.63,64.83,6.35,8.17,8.26,1.21,0.00,0.00,15.12
2001,29.71,134.84,117.36,3.63,1.78,205.05,8.48,11.60,14.26,1.58,23.88,3.80,13.84
2002,23.89,191.19,173.05,5.25,50.60,7.21,7.91,10.20,10.49,1.37,81.00,7.85,13.34
2003,22.51,206.42,199.35,5.58,103.35,3.53,12.66,15.95,17.83,2.12,68.51,4.89,13.64
2004,24.11,134.32,130.79,6.28,441.38,0.82,8.62,10.82,10.73,1.42,48.47,5.00,13.32
2005,21.59,100.42,99.03,6.32,1167.81,0.31,4.97,6.11,5.61,0.78,86.07,9.82,12.87
2006,12.63,111.74,109.07,7.00,2545.88,0.14,3.77,4.39,4.62,0.62,45.50,2.91,15.74
2007,19.20,139.18,138.96,7.33,20044.54,0.01,4.37,5.07,5.98,0.81,101.77,8.57,16.41
2008,33.89,115.11,114.79,6.75,13411.30,0.02,0.61,0.51,0.47,0.07,42.05,3.64,13.50
2009,31.85,105.02,104.81,5.67,9182.09,0.03,-3.89,-6.02,-5.21,-0.89,23.80,4.46,15.89
2010,32.01,99.34,99.23,5.85,7896.57,0.04,2.36,3.27,2.72,0.51,-14.20,-3.65,15.50
2011,34.02,67.53,67.26,6.02,9999.99,0.03,0.29,0.15,0.13,0.02,34.60,8.82,14.78
2012,45.49,97.52,97.39,5.36,9999.99,0.03,0.64,0.65,0.36,0.09,5.06,1.56,12.99
2013,66.97,115.00,92.27,4.63,10.59,34.46,-9.57,-27.44,-9.79,-3.17,11.95,6.94,10.15
2014,67.74,99.60,79.45,4.05,11.29,32.32,5.25,14.60,4.12,1.72,7.66,7.02,12.08
2015,58.57,83.60,57.64,3.18,7.60,48.02,3.25,7.85,3.29,1.02,30.46,20.91,12.23
2016,67.72,103.68,69.50,8.27,11.51,31.71,3.42,7.78,1.40,0.87,24.35,19.81,11.93
2017,68.92,107.94,75.79,4.81,7.24,50.41,1.38,2.51,0.58,0.28,-4.56,-4.45,12.20
2018,73.20,108.95,67.64,4.84,6.30,57.93,1.84,3.63,0.74,0.41,-2.91,-3.36,11.68
