安可,	3615
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2007,19.23,292.19,245.81,4.02,7.78,46.91,13.70,18.17,14.20,0.93,96.46,13.29,21.02
2008,26.95,184.28,137.53,3.11,5.97,61.13,1.57,1.91,2.50,0.41,63.91,9.25,21.42
2009,22.79,304.64,264.72,2.74,4.58,79.69,1.93,2.34,3.50,0.58,10.43,1.57,24.80
2010,29.19,204.07,180.05,3.55,8.57,42.59,4.54,5.81,5.66,1.43,39.90,8.44,25.17
2011,22.75,390.81,358.20,4.32,10.11,36.10,19.00,25.07,21.36,8.23,84.90,11.70,41.22
2012,20.03,339.85,318.06,2.33,7.77,46.97,5.79,7.30,12.22,3.10,51.49,4.28,39.84
2013,10.63,483.13,451.42,2.13,8.43,43.29,0.27,0.21,0.59,0.09,150.89,7.64,39.09
2014,14.64,410.45,389.73,2.79,9.49,38.46,-1.97,-2.38,-9.14,-0.90,63.22,4.02,36.45
2015,16.13,420.35,395.32,2.91,10.75,33.95,1.08,1.02,3.64,0.38,51.61,3.01,36.96
2016,15.52,370.60,333.22,2.85,10.62,34.36,1.22,1.26,3.94,0.47,45.96,3.09,37.88
2017,14.97,392.85,366.84,2.88,10.77,33.89,1.90,2.09,5.64,0.80,67.84,4.64,38.51
