永大,	1507
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,24.76,259.27,177.87,3.63,2.43,150.20,4.80,5.71,13.56,0.98,40.60,2.59,17.26
2002,22.78,295.53,214.85,4.23,2.65,137.73,5.61,6.88,16.58,1.21,53.67,3.26,17.71
2003,22.88,303.84,221.18,4.25,2.85,128.07,6.31,7.80,19.49,1.40,9.43,-2.40,18.08
2004,24.83,255.67,174.75,3.91,2.75,132.72,5.17,6.59,15.93,1.20,30.96,0.83,18.11
2005,24.23,245.23,175.70,4.37,2.91,125.42,5.47,7.10,15.41,1.32,41.76,3.46,18.96
2006,25.18,221.06,163.81,4.38,2.75,132.72,5.47,7.14,16.66,1.37,42.56,5.22,19.56
2007,24.68,215.51,152.60,5.22,2.42,150.82,7.27,9.55,21.36,2.01,36.46,4.85,21.24
2008,23.29,161.64,104.54,5.82,2.71,134.68,5.68,7.38,15.97,1.60,48.15,4.22,22.27
2009,21.40,173.61,118.48,5.94,2.60,140.38,8.50,10.91,28.17,2.50,38.24,2.03,23.53
2010,21.41,173.96,126.51,6.76,3.09,118.12,10.85,13.77,36.14,3.30,41.91,0.99,24.39
2011,21.37,157.44,106.13,5.89,3.05,119.67,11.01,13.99,38.83,3.61,28.45,-1.88,27.22
2012,21.15,141.19,84.01,5.56,2.69,135.68,10.82,13.73,37.62,3.79,24.37,-2.95,28.01
2013,65.17,119.15,52.45,5.54,1.42,257.04,6.27,17.63,8.68,4.19,12.95,9.72,25.09
2014,62.21,125.15,59.94,5.64,1.60,228.12,6.71,18.46,8.61,4.95,12.82,7.82,28.58
2015,59.97,126.95,66.60,4.66,1.68,217.26,6.07,15.62,8.13,4.53,9.56,1.89,29.45
2016,57.30,129.95,70.36,3.91,1.61,226.70,5.43,13.14,8.09,3.80,15.00,6.17,28.71
2017,50.83,138.60,76.61,4.07,1.70,214.70,4.47,9.78,6.91,2.76,8.37,-0.45,28.34
2018,47.01,147.15,91.08,4.04,1.94,188.14,3.21,6.30,4.92,1.65,5.52,-2.32,27.64
