正道,	1506
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,58.61,52.12,34.80,4.75,2.91,125.42,1.86,-0.42,-0.67,-0.05,11.03,5.00,11.27
2002,58.05,54.93,34.34,5.22,3.16,115.50,-1.12,-4.31,-6.21,-0.48,12.02,4.85,10.94
2003,59.80,61.31,34.70,4.93,3.15,115.87,-1.95,-7.31,-9.64,-0.77,13.31,4.66,10.00
2004,61.12,68.07,42.28,5.16,2.65,137.73,1.96,2.31,2.95,0.23,9.29,3.79,10.00
2005,57.04,66.83,40.28,5.01,2.66,137.21,1.26,0.51,0.65,0.05,5.12,2.37,10.93
2006,55.69,68.33,42.03,3.89,2.69,135.68,-1.19,-5.01,-7.05,-0.54,-1.89,-0.84,10.59
2007,58.25,68.82,40.81,3.85,2.46,148.37,-1.05,-4.93,-7.71,-0.51,0.76,0.40,10.14
2008,63.00,56.80,28.22,6.09,2.49,146.58,-6.29,-18.91,-23.06,-1.75,-2.45,-1.47,8.36
2009,67.77,49.05,28.86,4.24,2.04,178.92,-4.85,-16.13,-21.13,-1.25,3.13,1.99,7.12
2010,55.40,71.20,37.20,5.52,3.52,103.69,-3.11,-9.62,-10.16,-1.01,2.04,0.77,9.58
2011,56.44,78.29,40.13,5.23,3.77,96.81,2.19,4.35,4.39,0.43,2.95,0.94,10.23
2012,33.65,171.20,91.48,4.81,4.00,91.25,-2.95,-6.06,-7.03,-0.69,7.46,1.13,10.67
2013,41.30,165.19,85.52,4.38,2.68,136.19,-3.13,-7.06,-6.93,-0.69,9.04,1.90,10.03
2014,42.80,154.21,75.32,4.10,2.77,131.76,0.87,0.56,0.48,0.11,7.56,1.86,10.13
2015,50.98,309.36,186.52,3.64,2.50,146.00,2.02,2.41,2.10,0.29,18.57,2.54,10.27
2016,51.42,258.48,142.25,3.40,2.52,144.84,1.58,1.68,1.42,0.17,7.86,1.19,10.02
2017,55.23,101.82,57.09,2.96,2.22,164.41,0.53,-0.92,-0.88,-0.12,2.59,1.34,10.00
2018,57.91,117.44,58.30,3.02,2.16,168.98,-3.80,-10.46,-11.21,-0.95,3.52,1.12,9.09
