中和,	1439
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,41.28,201.40,114.90,24.74,4.48,81.47,2.62,3.15,3.08,0.38,0.00,0.00,12.20
2001,38.32,279.82,146.15,22.27,3.75,97.33,5.04,7.66,8.83,0.96,48.45,2.82,12.85
2002,40.52,253.18,111.36,29.10,3.73,97.85,1.55,2.02,2.08,0.25,43.68,1.95,12.40
2003,41.64,235.05,159.05,29.84,3.86,94.55,1.57,2.25,2.59,0.28,80.43,6.21,11.93
2004,45.93,189.38,134.73,27.50,4.93,74.03,1.55,2.29,2.60,0.29,4.05,0.00,12.59
2005,33.26,220.32,151.06,25.29,5.06,72.13,0.39,-0.08,-0.10,-0.01,109.83,11.55,14.67
2006,21.72,1282.27,1196.08,19.96,6.45,56.58,-3.46,-13.28,-10.30,-0.76,232.95,3.16,14.25
2007,20.89,30.30,29.11,13.71,33.14,11.01,0.56,0.68,1.94,0.10,47.61,0.25,14.35
2008,20.64,4533.38,4383.63,12.71,46.72,7.81,1.29,1.59,5.45,0.23,684.11,2.76,14.43
2009,20.40,555.58,540.82,26.57,21.48,16.99,1.63,2.04,10.62,0.30,12.76,1.45,14.73
2010,5.62,6603.12,6514.26,41.41,32.80,11.12,78.78,88.10,414.91,21.68,81.82,0.95,34.49
2011,9.79,1939.89,1868.27,29.67,27.31,13.36,-2.75,-2.98,-11.61,-0.87,-86.38,34.26,23.63
2012,7.10,11242.07,11130.47,24.68,33.06,11.04,-0.35,-0.39,-1.15,-0.09,-7.43,1.86,23.04
2013,7.32,9575.57,9514.76,24.66,51.29,7.11,0.08,0.08,0.37,0.02,77.88,2.44,22.55
2014,7.56,8841.58,8763.83,23.59,52.09,7.00,0.04,0.04,0.19,0.01,-96.58,1.38,22.06
2015,7.68,8931.42,8723.13,33.78,17.03,21.43,0.03,0.03,0.19,0.01,-19.76,1.87,21.57
2016,7.97,6864.54,6783.20,54.91,15.10,24.17,1.19,1.29,7.43,0.28,-30.45,1.75,21.35
2017,7.85,10579.65,10447.55,31.29,16.14,22.61,-0.32,-0.35,-2.79,-0.07,-39.03,1.84,20.77
