振發,	5426
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,348261,257265,90996,37223,53773,16724,50875,0.37,52702,-1827,1438000
2013 Q2,424627,324018,100609,44331,56278,-988,40392,0.32,98097,-6830,1438000
2013 Q3,355225,279336,75889,43732,32157,27705,54441,0.26,135936,9772,1438000
2013 Q4,1602600,1250512,352088,178722,173366,56147,181162,1.16,167373,13789,1438000
2014 Q1,401961,305575,96386,40503,55883,1563,46103,0.32,46562,-459,1438000
2014 Q2,484035,382977,101058,50599,50459,-2603,40002,0.28,87398,-1293,1438000
2014 Q3,526105,422630,103475,49491,53984,42834,78363,0.57,169984,-5516,1438000
2014 Q4,1862742,1481270,381472,208217,173255,63741,195838,1.46,209889,-14051,1438000
2015 Q1,460659,367398,93261,43977,49284,-6301,29529,0.24,34699,-5170,1438000
2015 Q2,378898,311988,66910,44643,22267,-37030,-18365,0.00,34960,-23796,1438000
2015 Q3,379980,310921,69059,45057,24002,17963,31318,0.27,73647,-31165,1438000
