欣厚-KY,	4924
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,274597,220547,54050,37702,16348,-1892,14249,0.42,0,14249,335895
2013 Q2,269702,230243,39459,41926,-2467,-57213,-59549,-1.77,0,-45300,335895
2013 Q3,312422,267706,44716,24150,20566,-5533,12708,0.38,0,-32592,335895
2013 Q4,1079134,922615,156519,138004,18515,-56765,-43114,-1.28,0,-43114,335895
2014 Q1,197981,173800,24181,26878,-2697,2151,337,0.01,0,337,343659
2014 Q2,176795,158403,18392,25438,-7046,-1925,-9356,-0.27,0,-9019,350440
2014 Q3,197300,176321,20979,24737,-3758,7780,2845,0.08,0,-6174,353143
2014 Q4,735047,655031,80016,103865,-23849,-7238,-33161,-0.95,0,-33161,367516
2015 Q1,156507,127340,29167,28924,243,-2297,-3856,-0.10,0,-3856,371644
2015 Q2,148220,132901,15319,18360,-3041,7645,3433,0.09,0,-423,371644
2015 Q3,127276,118737,8539,22447,-13908,-11177,-22421,-0.60,0,-22844,371644
