訊利電,	5455
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,44964,43030,1934,10098,-8164,4296,-3868,-0.11,-3868,0,366788
2013 Q2,12425,21930,-9505,10344,-19849,-1555,-21404,-0.58,-25272,0,366788
2013 Q3,13489,24970,-11481,10981,-22462,4365,-18097,-0.49,-43369,0,366788
2013 Q4,79172,107002,-27830,39682,-67512,3432,-64078,-1.75,-64078,0,366788
2014 Q1,8624,14228,-5604,8325,-13929,-4352,-18281,-0.50,-18281,0,366788
2014 Q2,9403,15638,-6235,8392,-14627,-2241,-16868,-0.46,-35149,0,366788
2014 Q3,8941,14151,-5210,8671,-13881,3163,-10718,-0.29,-45867,0,366788
2014 Q4,34160,58580,-24420,34577,-58997,18714,-40283,-7.32,-40283,0,55018
2015 Q1,n/a
2015 Q2,n/a
2015 Q3,n/a
