廣積,	8050
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,639054,435413,203641,136475,67166,6233,61083,0.74,59314,1769,842845
2013 Q2,621927,419383,202544,144241,58303,2255,45062,0.55,103451,2694,845367
2013 Q3,700191,467726,232465,135470,96995,-2174,77892,0.87,178152,5885,888682
2013 Q4,2754486,1863280,891206,581010,310196,12862,257573,2.89,243773,13800,891222
2014 Q1,809163,557699,251464,159958,91506,15624,89937,0.92,83023,6914,911367
2014 Q2,1067540,726232,341308,203830,137478,-3577,116968,1.23,197237,9668,947508
2014 Q3,912989,639077,273912,185617,88295,12886,89037,0.88,280870,15072,999164
2014 Q4,3768051,2575455,1192596,759998,432598,48592,418829,4.07,394948,23881,999720
2015 Q1,1126107,761847,364260,201855,162405,1520,146317,1.45,139483,6834,1085430
2015 Q2,1077669,769936,307733,218950,88783,-2939,61116,0.59,200698,6735,1085430
2015 Q3,1030425,690190,340235,194025,146210,45615,167208,1.40,354795,19846,1138488
2015 Q4,4265871,2898810,1367061,838257,528804,43290,499506,4.45,480045,19461,1138488
2016 Q1,1111080,708335,402745,207167,195578,-6096,166301,1.53,162550,3751,1138488
