數字,	5287
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,232687,57125,175562,83838,91724,3655,78895,2.82,78895,78895,280000
2013 Q2,236479,64339,172140,70152,101988,8372,91500,3.27,170395,170395,280000
2013 Q3,237597,81858,155739,77428,78311,8721,72840,2.60,243235,243235,280000
2013 Q4,942368,254538,687830,302809,385021,29205,343980,12.29,343980,343980,280000
2014 Q1,240000,47456,192544,86357,106187,8568,95096,3.08,95096,95096,315000
2014 Q2,283490,59895,223595,68832,154763,8046,134956,4.28,230052,230052,315000
2014 Q3,295682,70378,225304,88690,136614,8802,120638,3.83,350690,350690,315000
2014 Q4,1150822,247925,902897,395255,507642,34122,442423,14.11,442423,442423,315000
2015 Q1,320290,64066,256224,160871,95353,7469,85245,2.71,85245,85245,315000
2015 Q2,352425,74432,277993,113189,164804,6446,144016,3.52,229328,-67,315000
