優群,	3217
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,452887,371045,81842,65263,16579,9023,20935,0.25,20937,-2,840592
2013 Q2,387896,289169,98727,70067,28660,10134,31051,0.37,51988,-2,840592
2013 Q3,374684,270913,103771,72282,31489,702,25074,0.30,77063,-3,840592
2013 Q4,1512256,1138018,374238,282126,92112,29819,95923,1.14,95926,-3,840592
2014 Q1,282756,200684,82072,68026,14046,5313,16300,0.19,16300,0,840592
2014 Q2,331029,225498,105531,69521,36010,1004,34713,0.41,51013,0,840592
