精剛,	1584
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,283591,302911,-19320,22215,-41535,-6586,-48740,-0.59,834705
2013 Q2,311298,332242,-20944,25374,-46318,-7263,-53304,-0.65,834705
2013 Q3,265925,268627,-2702,25969,-28671,-4989,-33451,-0.41,834705
2013 Q4,1113957,1156807,-42850,104643,-147493,-30153,-177921,-2.16,834705
2014 Q1,285280,277125,8155,31289,-23134,-3519,-26652,-0.32,834705
2014 Q2,275308,272618,2690,28624,-25934,1940,-23994,-0.29,835010
2014 Q3,282350,255938,26412,28565,-2153,-5260,-8398,-0.09,1034705
2014 Q4,1114403,1048442,65961,109630,-43669,-11788,-51793,-0.57,1034705
2015 Q1,280254,255508,24746,21673,3073,-9074,-6012,-0.06,1034705
2015 Q2,307754,285015,22739,16020,6719,-2504,4797,0.05,1034705
2015 Q3,230670,233838,-3168,19631,-22799,2854,-24770,-0.24,1034705
2015 Q4,1009655,1017512,-7857,88971,-96828,-16233,-114283,-1.12,1024705
2016 Q1,166936,151745,15191,15075,116,-10522,-8033,-0.08,1024705
2016 Q2,188789,160481,28308,14824,13484,-583,9949,0.10,1024705
2016 Q3,167957,157075,10882,12074,-1192,2392,855,0.01,824705
