普萊德,	6263
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,212288,146154,66134,31693,34441,4212,35365,0.61,35365,0,581843
2013 Q2,266028,179863,86165,35861,50304,5641,50172,0.86,85537,85537,581843
2013 Q3,284177,192437,91740,36630,55110,4193,47130,0.79,132667,132667,593480
2013 Q4,1069363,726750,342613,140536,202077,19713,190416,3.20,190416,190416,597240
2014 Q1,300062,197942,102120,37576,64544,5841,53168,0.89,53168,53168,600740
2014 Q2,315537,209022,106515,37517,68998,4065,61023,1.02,114191,114191,600740
2014 Q3,309400,206216,103184,41555,61629,4489,55676,0.91,169867,169867,612755
2014 Q4,1280887,841617,439270,159052,280218,21008,244882,4.00,244882,244882,612755
2015 Q1,305668,193261,112407,41001,71406,3500,62976,1.03,62976,62976,612755
2015 Q2,336244,218104,118140,41315,76825,3734,67126,1.10,130102,130102,612755
2015 Q3,303803,191166,112637,42156,70481,8972,66752,1.07,196854,196854,625010
2015 Q4,1265463,797482,467981,169732,298249,20213,266035,4.26,266035,266035,625010
