業強,	6124
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,392839,310656,82183,81137,1046,17906,12196,0.08,14425,-2229,1824799
2013 Q2,553830,426731,127099,89578,37521,-16364,14675,0.09,30819,-3948,1824799
2013 Q3,567610,439467,128143,95664,32479,18974,46350,0.26,78061,-4840,1824799
2013 Q4,2099922,1642715,457207,350214,106993,12149,92304,0.54,98877,-6573,1824799
2014 Q1,418079,367273,50806,85869,-35063,-61212,-96275,-0.52,-94406,-1869,1824799
2014 Q2,520288,420018,100270,88304,11966,-15992,-13818,-0.07,-107296,-2797,1824799
2014 Q3,516875,418111,98764,82688,16076,50165,66241,0.37,-40372,-3480,1824799
2014 Q4,2048621,1711557,337064,333059,4005,-6879,-16887,-0.06,-11466,-5421,1824799
2015 Q1,403800,363853,39947,79265,-39318,19105,-20213,-0.10,-17603,-2610,1824799
2015 Q2,371211,341481,29730,80375,-50645,36794,-15492,-0.09,-33878,-1827,1824799
