豪勉,	6218
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,291166,156458,134708,92714,41994,6165,39096,0.61,39096,0,642620
2013 Q2,287650,170017,117633,93350,24283,-2364,15359,0.24,0,0,642620
2013 Q3,281676,150808,130868,96700,34168,-4507,23210,0.36,77665,77665,642620
2013 Q4,1114308,630731,483577,382503,101074,4984,82303,1.28,82303,82303,642620
2014 Q1,252533,149013,103520,92375,11145,5400,12596,0.20,12596,0,642620
2014 Q2,290491,180655,109836,88838,20998,4338,22130,0.34,34726,34726,642620
2014 Q3,236942,133525,103417,97752,5665,31070,35095,0.55,69821,0,642620
2014 Q4,1050887,634469,416418,373312,43106,50883,81241,1.26,81241,81241,642620
2015 Q1,281439,166068,115371,95933,19438,1823,15546,0.24,15546,0,642620
2015 Q2,225040,137560,87480,74761,12719,-982,186,0.00,15732,15732,642620
2015 Q3,256648,131002,125646,93244,32402,15859,42959,0.67,58691,0,642620
