凌泰,	6198
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,17089,7360,9729,18285,-8556,1424,-4961,-0.12,-4181,-780,348236
2013 Q2,21680,9325,12355,17707,-5352,680,-3951,-0.14,-8935,23,348236
2013 Q3,19846,8607,11239,18154,-6915,-222,-6269,-0.29,-14550,-631,196753
2013 Q4,78196,32265,45931,72269,-26338,-2511,-24431,-1.17,-22973,-1458,196754
2014 Q1,19517,7885,11632,21190,-9558,112,-8624,-0.42,-8195,-429,196754
2014 Q2,21491,7914,13577,20603,-7026,-109,-6203,-0.30,-14024,-803,201354
2014 Q3,21834,7205,14629,20979,-6350,546,-5153,-0.23,-18651,-1329,201354
2014 Q4,85245,31183,54062,84614,-30552,-3006,-32900,-1.51,-30172,-2728,201354
2015 Q1,16974,5483,11491,20102,-8611,1177,-6723,-0.31,-6313,-410,201354
2015 Q2,23690,9195,14495,22183,-7688,-37,-6379,-0.32,-12767,-335,201354
2015 Q3,19614,6021,13593,22286,-8693,2694,-4960,-0.23,-17301,-761,201354
2015 Q4,74146,27055,47091,84954,-37863,3697,-29663,-1.40,-28212,-1451,201354
2016 Q1,10829,6500,4329,19036,-14707,97,-12152,-0.60,-12101,-51,201354
