力旺,	3529
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,164912,0,164912,107823,57089,407,52108,0.70,52108,0,768323
2013 Q2,207440,0,207440,118807,88633,3647,75613,1.01,127721,0,768323
2013 Q3,205352,0,205352,117183,88169,-3400,71651,0.96,199372,0,768323
2013 Q4,808258,0,808258,468574,339684,2474,290640,3.87,290640,0,768323
2014 Q1,246060,0,246060,126719,119341,6169,110936,1.46,110936,0,768323
2014 Q2,224929,0,224929,129406,95523,-1078,82385,1.09,193321,0,768323
2014 Q3,274829,0,274829,135695,139134,1852,124352,1.64,124352,0,768323
2014 Q4,1003977,0,1003977,540321,463656,12843,418569,5.52,418569,418569,768323
2015 Q1,258602,0,258602,128976,129626,50,114423,1.51,114423,114423,768323
2015 Q2,280325,0,280325,141435,138890,8309,130297,1.72,244720,244720,768323
2015 Q3,251815,0,251815,143776,108039,13337,106301,1.40,351021,351021,768323
2015 Q4,1091620,0,1091620,570403,521217,22070,479111,6.32,479111,479111,768323
