大甲,	2221
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,172924,135559,37365,28920,8445,-3258,4117,0.11,4606,-489,424250
2013 Q2,204994,163923,41071,28783,12288,-2970,8683,0.20,0,-472,424250
2013 Q3,133042,112600,20442,24377,-3935,-4871,-4231,-0.09,0,-1074,424250
2013 Q4,601946,483235,118711,103745,14966,-15177,4815,0.15,0,-1617,424250
2014 Q1,141853,118673,23180,20137,3043,-96,2901,0.08,0,-452,424250
2014 Q2,189343,148129,41214,23103,18111,-1757,13527,0.33,0,-804,424250
2014 Q3,174315,143869,30446,23098,7348,-1648,5370,0.14,0,-1213,424250
2014 Q4,721813,597472,124341,87797,36544,-5153,29715,0.71,0,-614,424250
2015 Q1,165968,137336,28632,21843,6789,-1809,4311,0.09,0,361,424250
2015 Q2,199442,154736,44706,20700,24006,-3455,16635,0.38,0,806,424250
2015 Q3,193920,148036,45884,23115,22769,756,17609,0.37,0,2802,424250
2015 Q4,850535,654859,195676,100125,95551,-5621,71186,1.64,0,1963,424250
