迎輝,	3523
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,338480,332844,5636,84573,-78937,766,-78171,-0.81,-78171,-78171,979356
2013 Q2,354132,348311,5821,90563,-84742,-8364,-90638,-0.94,-168809,-168809,979356
2013 Q3,413844,413056,788,85674,-84886,-24639,-109525,-1.14,-278334,-278334,979356
2013 Q4,1561763,1555906,5857,331366,-325509,-43561,-367804,-3.83,-367804,-367804,979356
2014 Q1,346982,367268,-20286,78559,-98845,4594,-94383,-0.98,-94383,-94383,979356
2014 Q2,448840,489877,-41037,105237,-146274,-10397,-156552,-1.63,-250935,-250935,979356
2014 Q3,367885,406901,-39016,79675,-118691,-4906,-123564,-1.29,-374499,-374499,979356
2014 Q4,1481138,1609802,-128664,324211,-452875,-182227,-635280,-6.61,0,-635280,979356
2015 Q1,292780,265629,27151,67605,-40454,-18103,-58557,-0.61,-58557,-58557,960996
2015 Q2,258226,255771,2455,59060,-56605,-11267,-67872,-0.71,-126429,-126429,960996
2015 Q3,173106,186417,-13311,62213,-75524,20303,-55221,-0.57,-181650,-181650,960996
2015 Q4,903739,1007393,-103654,254449,-358103,-30440,-387064,-4.03,-387064,-387064,960996
