連展,	5491
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,1899846,1601950,297896,328360,-30464,20868,-10579,-0.02,-4071,-6508,1949426
2013 Q2,2202992,1818706,384286,358073,26213,-4890,20414,0.13,20374,-10539,1949426
2013 Q3,2641338,2252035,389303,376135,13168,-18237,-4285,-0.17,-11936,17486,1949426
2013 Q4,9000134,7649699,1350435,1467254,-116819,-17514,-138565,-0.82,-159735,21170,1949476
2014 Q1,2092682,1768908,323774,369840,-46066,-28678,-76930,-0.42,-86102,9172,1949476
2014 Q2,2386900,1892036,494864,389105,105759,-49318,47286,0.18,-48325,18681,2166347
2014 Q3,2462750,1996785,465965,380649,85316,-23122,53680,0.19,-8178,32214,2167238
2014 Q4,9207032,7497803,1709229,1540630,168599,-99751,34059,0.04,8942,25117,2170807
2015 Q1,1910720,1662756,247964,364160,-116196,-25299,-144239,-0.66,-144745,506,2195262
2015 Q2,2032448,1738964,293484,368453,-74969,-62235,-137499,-0.63,-281780,42,2195757
