寶碩,	5210
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,62118,20221,41897,49696,-7799,2234,-4675,-0.06,-4152,-523,690268
2013 Q2,67738,23896,43842,51005,-7163,1478,-5876,-0.07,-4581,-1295,690268
2013 Q3,80048,27604,52444,54387,-1943,116,-1256,-0.03,-10691,-1116,690268
2013 Q4,288129,87670,200459,208394,-7935,7440,-887,0.01,891,-1778,690268
2014 Q1,87633,32379,55254,57346,-2092,1352,-921,0.00,132,-1053,690268
2014 Q2,79653,26285,53368,57455,-4087,-149,-4370,-0.05,-3331,-1960,690268
2014 Q3,79581,19195,60386,59595,791,3538,4658,0.06,573,-1206,690268
2014 Q4,334599,96122,238477,234865,3612,18042,20680,0.33,21904,-1224,690268
2015 Q1,71259,19942,51317,58562,-7245,-353,-7154,-0.11,-7324,170,690268
2015 Q2,101912,17335,84577,61372,23205,-3607,18801,0.28,11529,118,690268
2015 Q3,53603,19711,33892,53300,-19408,-1051,-20204,-0.30,-8056,-501,690268
2015 Q4,305722,75936,229786,233189,-3403,5529,1683,0.03,1845,-162,676998
2016 Q1,48889,15933,32956,53697,-20741,-2314,-23062,-0.35,-22500,-562,676998
