美利達          ,	9914
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,5279187,4297179,956101,503301,452800,439012,683844,2.38,678798,5046,2847464
2013 Q2,5753930,4640169,1196064,437912,758152,279408,746101,2.62,1423455,6490,2847464
2013 Q3,7697244,6224606,1435637,499857,935780,217057,832545,2.93,2256541,5949,2847464
2013 Q4,25309024,20764585,4496489,1837189,2659300,1281725,2919841,10.21,2907457,12384,2847464
2014 Q1,5671418,4578892,1109334,547436,561898,392067,743223,2.54,724563,18660,2847464
2014 Q2,6763387,5512875,1310515,596818,713697,230187,714454,2.46,1425913,31764,2847464
2014 Q3,7725124,6434791,1251421,501730,749691,488092,987432,3.33,2422278,22831,2989838
2014 Q4,27217143,22346862,4792773,2131362,2661411,1608861,3389752,11.20,3349849,39903,2989838
2015 Q1,6197835,5044284,1186203,557597,628606,261797,714121,2.35,702702,11419,2989838
2015 Q2,7036400,5805324,1301532,456386,845146,26405,594055,1.96,1288890,19286,2989838
2015 Q3,8499783,7016687,1381340,546230,835110,549490,1114211,3.72,2402238,20149,2989838
