喬福            ,	1540
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,189975,147277,42698,24422,18276,20748,32850,0.41,32850,0,854736
2013 Q2,277864,225966,51898,25881,26017,9039,31296,0.39,31296,0,854736
2013 Q3,198559,152082,46477,20685,25792,-10728,12907,0.16,12903,4,854736
2013 Q4,938979,733694,205285,98519,106766,30213,117516,1.48,117513,3,854736
2014 Q1,255221,181369,73852,27790,46062,12993,50399,0.64,50399,0,854736
2014 Q2,249721,176527,73194,33241,39953,-3892,32030,0.40,32030,0,854736
2014 Q3,287309,222852,64457,39819,24638,14264,33066,0.42,33061,5,854736
2014 Q4,1129632,830273,299359,138986,160373,71751,198555,2.50,198550,5,854736
2015 Q1,277192,191205,85987,25651,60336,-11342,42986,0.54,42986,0,854736
2015 Q2,231664,186558,45106,22157,22949,-8789,7752,0.10,7752,0,854736
2015 Q3,200475,173286,27189,25484,1705,38356,35219,0.44,35219,0,854736
2015 Q4,836945,688536,148409,81666,66743,1575,57935,0.73,0,6,854736
