健鼎            ,	3044
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,10002068,8578415,1423653,691909,651819,59087,608208,1.15,606027,2181,5256059
2013 Q2,10227083,8739538,1487545,773783,673720,47456,539551,1.03,1144873,2886,5256059
2013 Q3,10232663,8796360,1436303,740323,626615,79636,610754,1.18,1767316,-8803,5256059
2013 Q4,40771697,34869022,5902675,3024944,2546399,345318,2366848,4.52,2374586,-7738,5256059
2014 Q1,9829805,8363886,1465919,846360,619559,99814,582214,1.09,573054,9160,5256059
2014 Q2,10337899,8700050,1637849,972363,665486,66382,535951,1.00,1099132,19033,5256059
2014 Q3,11205218,9351383,1853835,1085721,639323,292365,787462,1.50,1886594,19033,5256059
2014 Q4,42433278,35771112,6662166,3959876,2573499,666522,2655905,5.02,2636872,19033,5256059
2015 Q1,9992899,8560319,1432580,973227,459353,170225,537675,1.02,537675,0,5256059
