盛餘            ,	2029
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,3801138,3364345,436793,221971,214822,14676,189748,0.58,3211800
2013 Q2,3430417,3041273,389144,170393,218751,-24714,154719,0.49,3211800
2013 Q3,3826596,3495849,330747,186471,144276,-25573,88428,0.29,3211800
2013 Q4,15175038,13559569,1615469,795985,819484,-152777,512776,1.59,3211800
2014 Q1,3950465,3464065,486400,217964,268436,-50491,166996,0.52,3211800
2014 Q2,4073703,3640557,433912,226872,207040,-122340,40185,0.13,3211800
2014 Q3,4072280,3676573,395518,236616,158902,-56468,69664,0.23,3211800
