大洋-KY         ,	5907
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,1916912,307939,1608973,1238735,370238,54648,245069,1.22,244044,1025,2020000
2013 Q2,1677121,243452,1433669,1177820,255849,60054,184550,0.92,427743,1876,2020000
2013 Q3,1552907,257421,1295486,1171501,123985,180607,218025,1.09,645332,2312,2020000
2013 Q4,7181500,1095623,6085877,4938350,1147527,397419,989726,4.94,986226,3500,2020000
2014 Q1,2030422,336105,1694317,1201506,492811,31341,367474,1.84,366733,741,2020000
2014 Q2,1750187,264952,1485235,1179185,306050,61776,269642,1.35,635771,1345,2020000
2014 Q3,1615986,262828,1353158,1145656,207502,-35480,76212,0.38,711782,1546,2020000
2014 Q4,7604096,1184145,6419951,4869512,1550439,-34017,1074583,5.38,1072635,1948,2020000
2015 Q1,2138689,353839,1784850,1224500,560350,10798,383321,1.94,382943,378,2020000
2015 Q2,1694925,258780,1436145,1116288,319857,26056,220748,1.12,603805,264,2020000
2015 Q3,1560446,248590,1311856,1177186,134670,-568949,-490675,-2.48,113616,-222,2020000
